edge_id	source_entity	relation_type	target_entity	pathway_name	effect_polarity	directionality	upstream_signal_context	receptor_or_target_context	cell_type_context	compartment_context	species_context	injury_context	evidence_layer	evidence_status	context_scope	confidence_tier	export_priority	curator_decision
M24A-E126	DEFB2	binds/activates	TLR4	DEFB2-TLR4 dendritic maturation relay	activating	directed	mature beta-defensin-2	TLR4	mouse dendritic-cell comparator systems	cell surface/cytosol	mouse	non-SCI comparator	ligand_receptor_binding	reviewed_batch003A	mature peptide exposure and TLR4-dependent dendritic-cell maturation assays	medium-high	P2	RETAIN_MATURE_PEPTIDE_SPECIES_CONTEXT
M24A-E127	FCNA/ficolin-A	modulates	TLR4-MyD88-MAPK/NFkB	ficolin-A-TLR4 macrophage polarization branch	activating	directed	ficolin-A extracellular context	TLR4/MD2; LPS-binding context	mouse macrophage/inflammatory models	cell surface/cytosol/nucleus	mouse	non-SCI comparator	receptor_proximal_relay	reviewed_batch003A	co-IP, Tlr4/MyD88 knockout and adoptive-transfer assays	medium-high	P2	RETAIN_PATHWAY_FUNCTION_NOT_PURIFIED_TLR4_BINDING
M24A-E128	HMGB1	binds	HAVCR2/TIM-3	HMGB1-TIM-3 nucleic-acid sensing suppression	engaging	directed	extracellular HMGB1 redox/form	TIM-3 on dendritic cells	tumor-associated dendritic-cell comparator models	cell surface/cytosol	mouse;human comparator	non-SCI comparator	ligand_receptor_binding	reviewed_batch003A	recombinant binding, cell binding and co-IP assays	high	P2	RETAIN_REDOX_AND_CO_RECEPTOR_CONTEXT
M24A-E129	HMGB1	activates	TLR2	HMGB1-TLR2 inflammatory relay	activating	directed	extracellular HMGB1 redox/form	TLR2	macrophage/dendritic-cell comparator models	cell surface/cytosol/nucleus	human;mouse comparator	non-SCI comparator	receptor_proximal_relay	reviewed_batch003A	FRET/co-IP, TLR2 reporter and inflammatory output assays	medium-high	P2	RETAIN_REDOX_AND_COMPLEX_CONTEXT
M24A-E130	LGALS9	modulates	TLR4	LGALS9-TLR4 glycan-dependent modulation branch	context-dependent	directed	galectin-9 presentation	LPS/TLR4 receptor context	mouse B-1 cells and inflammatory comparator models	cell surface/cytosol	mouse	non-SCI comparator	receptor_proximal_relay	reviewed_batch003A	pull-down and TLR4/LPS response modulation assays	medium	P2	RETAIN_GLYCAN_AND_CELL_CONTEXT
M24A-E131	C3aR1	modulates	NF-kB p65/Nrf2/UCHL1-proteasome axis	C3a-C3aR1-NF-kB p65-Nrf2- UCHL1 downstream relay	context-dependent	directed	C3a/C3aR1 signaling	C3aR1 blockade and downstream pathway dependence	spinal cord neural stem cells and injured cord	nucleus/proteasome	mouse	traumatic SCI	receptor_proximal_relay	reviewed_saturation_batch005	C3aR-dependent downstream pathway; net NSC-suppressive	high	P1	RETAIN_AS_RECEPTOR_DOWNSTREAM_PATHWAY_NOT_DIRECT_BINDING
M24A-E132	C3a/C3aR1 signaling	suppresses	spinal cord NSC activation	C3a-C3aR1-NF-kB p65-Nrf2-UCHL1-proteasome functional output	inhibitory	directed	C3a released from reactive astrocytes	C3aR blockade, NF-kB p65 knockdown, and Nrf2 rescue	spinal cord neural stem cells and injured cord	lesion and neural-stem-cell compartment	mouse	traumatic SCI	downstream_pathway_or_cellular_function	reviewed_saturation_batch005	C3aR-dependent NSC activation and recovery output	high	P1	RETAIN_AS_FUNCTIONAL_OUTPUT_NOT_DIRECT_TF_EDGE
M24A-E133	des-Arg9-bradykinin	activates	BDKRB1	kinin-B1 receptor SCI bladder relay	activating	directed	des-Arg9-bradykinin exposure	BDKRB1 selective agonist and antagonist pharmacology	rat detrusor, urothelium, DRG, and spinal cord	cell surface/bladder and spinal autonomic circuits	rat	SCI-associated overactive bladder	ligand_receptor_pharmacology	reviewed_saturation_batch005	selective B1 agonist/antagonist pharmacology	medium-high	P1	RETAIN_AS_BDKRB1_PHARMACOLOGIC_SCI_EDGE_NOT_PURIFIED_BINDING
M24A-E134	BDKRB1	promotes	post-SCI overactive bladder	kinin-B1 receptor bladder hyperexcitability output	increasing	directed	SCI-induced BDKRB1 expression and activation	BDKRB1 antagonists and cystometry	rat detrusor, urothelium, DRG, and spinal cord	bladder and spinal autonomic circuits	rat	SCI-associated overactive bladder	downstream_pathway_or_cellular_function	reviewed_saturation_batch005	B1 receptor blockade and bladder functional output	high	P1	RETAIN_AS_BDKRB1_FUNCTIONAL_OUTPUT_NOT_KALLIKREIN_PROCESSING
M24A-E135	resolvin D1	activates	GPR32/DRV1	RvD1-GPR32 proresolution GPCR relay	activating	directed	RvD1 exposure	Human GPR32/DRV1 recombinant receptor system	CHO-hGPR32 and primary human PMNs/macrophages	cell surface/cytosol	human	non-SCI comparator	ligand_receptor_pharmacology	reviewed_saturation_batch005	human receptor pharmacology and proresolution comparator	high molecular; low SCI relevance	P2	RETAIN_AS_HUMAN_GPR32_COMPARATOR_NOT_SCI_RECEPTOR_EDGE
M24A-E136	GPR32/DRV1	promotes	proresolution phagocytosis and leukocyte resolution	RvD1-GPR32 proresolution cellular output	promoting	directed	RvD1-GPR32 signaling	GPR32 knockdown/overexpression and receptor-blocking assays	primary human PMNs and macrophages	cell surface/cytosol	human	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_saturation_batch005	human GPR32-dependent resolution function	high molecular; low SCI relevance	P2	RETAIN_AS_GPR32_FUNCTIONAL_COMPARATOR_NOT_SCI_EDGE
M24A-E137	C5a	binds	C5L2/C5aR2	C5a-C5L2/C5aR2 decoy and internalization branch	engaging	directed	extracellular C5a and C5a-desArg	C5L2/C5aR2 ligand-binding and internalization context	human PMNs, HeLa, and recombinant receptor systems	cell surface/intracellular	human	non-SCI comparator	ligand_receptor_binding	reviewed_saturation_batch006	primary human C5L2/C5aR2 comparator studies	high molecular; low SCI relevance	P2	RETAIN_AS_C5L2_COMPARATOR_BINDING_NOT_SCI_EDGE
M24A-E138	C5L2/C5aR2	promotes	C5a/C5a-desArg internalization and degradation	C5L2/C5aR2 ligand-clearance branch	modulating	directed	C5a and C5a-desArg exposure	C5L2/C5aR2 intracellular uptake and ligand-clearance context	human PMNs, HeLa, and differentiated HL-60 cells	intracellular	human	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_saturation_batch006	constitutive receptor internalization and ligand-clearance assays	high molecular; low SCI relevance	P2	RETAIN_AS_C5L2_FUNCTIONAL_COMPARATOR_NOT_SCI_EDGE
M24A-E139	C3d	binds	CR2/CD21	C3d-CR2 complement co-receptor binding	engaging	directed	antigen-bound C3d	CR2 SCR1-2 ligand-binding domain	recombinant human CR2 SCR1-2/C3d structural systems	extracellular	human	non-SCI comparator	ligand_receptor_binding	reviewed_saturation_batch006	primary CR2-C3d structural and mutational studies	high molecular; low SCI relevance	P2	RETAIN_AS_CLEAVAGE_FRAGMENT_BINDING_NOT_INTACT_C3_SCI_EDGE
M24A-E140	factor Xa	activates	PAR2	TF-FVIIa-Xa-PAR2 protease relay	activating	directed	TF/FVIIa-dependent factor X activation and FXa generation	PAR2 cleavage under tissue-factor/cofactor conditions	human vascular endothelial and recombinant/cofactor systems	cell surface/extracellular	human	non-SCI comparator	ligand_receptor_activation	reviewed_saturation_batch006	primary factor Xa/PAR2 cofactor and cleavage studies	high molecular; low SCI relevance	P2	RETAIN_AS_FACTOR_XA_PAR2_COMPARATOR_NOT_SCI_EDGE
M24A-E141	neurosin/Klk6	activates	PAR2	Klk6-PAR2-MEK/ERK-STAT3 astrocyte relay	injurious	directed	SCI-associated neurosin/Klk6 elevation	PAR2 knockout and PAR2 agonist/inhibitor context	mouse injured spinal cord and primary astrocytes	cell surface/cytosol/nucleus	mouse	traumatic compression SCI	receptor_proximal_relay	reviewed_saturation_batch007	primary SCI neurosin/PAR2 receptor-proximal study	high	P1	RETAIN_AS_KLK6_PAR2_SCI_RELAY_NOT_PURIFIED_CLEAVAGE
M24A-E142	neurosin/Klk6-PAR2 signaling	promotes	astrocyte IL-6/STAT3 astrogliosis	Klk6-PAR2-MEK/ERK-STAT3 inflammatory astrocyte output	promoting	directed	SCI-associated neurosin/Klk6 and PAR2 induction	PAR2-null astrocytes; MEK1/2 and STAT3 inhibition	mouse primary astrocytes and injured spinal cord	cytosol/nucleus/lesion compartment	mouse	traumatic compression SCI	downstream_pathway_or_cellular_function	reviewed_saturation_batch007	neurosin challenge, PAR2 loss, STAT3/MEK inhibition, cytokine and glial-scar assays	high	P1	RETAIN_AS_PAR2_DOWNSTREAM_FUNCTION_NOT_DIRECT_KLK6_CLEAVAGE
M24A-E143	bradykinin/kallikrein-kinin system	modulates	BDKRB1/B2R expression after SCII	kinin-system receptor induction context	context-dependent	directed	SCI ischemia-reperfusion-associated bradykinin increase	BDKRB1/B2R immunochemistry and transcript expression	rat spinal cord ischemia-reperfusion tissue	cell surface/lesion compartment	rat	spinal cord ischemia-reperfusion	downstream_pathway_or_cellular_function	reviewed_saturation_batch007	primary SCII bradykinin concentration and receptor expression time course	medium-high	P1	RETAIN_AS_KININ_RECEPTOR_INDUCTION_CONTEXT_NOT_DIRECT_ACTIVATION
M24A-E144	bradykinin	activates	BDKRB2	bradykinin-B2R-NF-kB neuroprotection relay	protective	directed	bradykinin treatment after SCII	BDKRB2 expression and pharmacologic receptor context	rat injured spinal cord and neuronal compartment	cell surface/cytosol/nucleus	rat	spinal cord ischemia-reperfusion	ligand_receptor_pharmacology	reviewed_saturation_batch007	primary SCII bradykinin treatment, B2R, cytokine, p65, and neuronal-recovery assays	medium-high	P1	RETAIN_AS_BRADYKININ_B2R_SCI_PHARMACOLOGY_NOT_PURIFIED_BINDING
M24A-E145	BDKRB2	promotes	neurologic recovery and neuronal protection after SCII	bradykinin-B2R-NF-kB neuroprotective output	protective	directed	bradykinin/B2R signaling after ischemia-reperfusion	B2R expression, bradykinin treatment, and inflammatory readouts	rat injured spinal cord and neuronal compartment	cytosol/nucleus/lesion compartment	rat	spinal cord ischemia-reperfusion	downstream_pathway_or_cellular_function	reviewed_saturation_batch007	BBB locomotor scoring; IL-6, TNF-alpha, MCP-1, COX-2, iNOS, p65/p-p65 and B2R assays	medium-high	P1	RETAIN_AS_B2R_FUNCTIONAL_OUTPUT_NOT_NEW_LR_CLASSIFICATION
M24A-E146	LTB4	promotes	post-traumatic polymorphonuclear infiltration and secondary injury	LTB4 release-PMN infiltration branch	increasing	directed	post-traumatic arachidonic-acid/5-LO metabolite release	BLT receptor not isolated in this functional study	infiltrating polymorphonuclear cells/neutrophils and injured spinal cord slices	lesion compartment/ex vivo spinal cord slices	rat	traumatic SCI	downstream_pathway_or_cellular_function	reviewed_saturation_batch008	rat SCI mediator-release and PMN-association context	medium-high	P1	RETAIN_AS_LTB4_SCI_FUNCTIONAL_CONTEXT_NOT_BLT2_EDGE
M24A-E147	iC3b	binds	CR3/ITGAM-ITGB2	iC3b-CR3 opsonin binding	engaging	directed	iC3b fragment generated from surface-bound C3b	CR3 alpha-I domain and complete alphaM-beta2 receptor context	recombinant human iC3b and CR3 alpha-I structural systems	extracellular	human	non-SCI comparator	ligand_receptor_binding	reviewed_saturation_batch008	human iC3b-CR3 alpha-I structural binding comparator	high molecular; low SCI relevance	P2	RETAIN_AS_IC3B_CR3_FRAGMENT_COMPARATOR_NOT_INTACT_C3_SCI_EDGE
M24A-E148	C3/CR3 pathway	promotes	SCI-evoked neuropathic pain	C3-CR3-NR2B neuropathic-pain branch	increasing	directed	SCI-associated complement and CR3 expression changes	CR3/C3 pathway expression and neuropathic-pain phenotype association	injured rat spinal cord and dorsal horn	synaptic/dorsal-horn lesion compartment	rat	traumatic SCI	downstream_pathway_or_cellular_function	reviewed_saturation_batch008	rat SCI functional association; no ligand-receptor perturbation	medium	P1	RETAIN_AS_C3_CR3_SCI_FUNCTIONAL_CONTEXT_NOT_INTACT_C3_CR3_EDGE
M24A-E149	MMP2/MMP9	promotes	SCI apoptotic and vascular-inflammatory secondary injury	MMP2/MMP9 ECM-vascular injury branch	increasing	directed	acute post-traumatic MMP2/MMP9 expression and activation	ECM degradation, blood-spinal cord barrier, apoptosis, and inflammatory-cell infiltration; no receptor assigned	neurons, glia, astrocytes, neutrophils, macrophages, and vascular structures	extracellular matrix/vascular barrier/lesion compartment	mouse	traumatic contusion SCI	downstream_pathway_or_cellular_function	reviewed_saturation_batch008	mouse SCI apoptosis and early vascular-inflammatory pathway context	high	P1	RETAIN_AS_MMP2_MMP9_SCI_PATHWAY_FUNCTION_NOT_RECEPTOR_EDGE
M24A-E150	iC3b	binds	CR4/ITGAX-ITGB2	iC3b-CR4 opsonin binding	engaging	directed	iC3b fragment generated from surface-bound C3b	CR4 alpha-X I domain and complete alphaX-beta2 receptor context	recombinant human iC3b and CR4 alphaX-beta2 ectodomain structural systems	extracellular	human	non-SCI comparator	ligand_receptor_binding	reviewed_saturation_batch009	human iC3b-CR4 structural and biochemical binding comparator	high molecular; low SCI relevance	P2	RETAIN_AS_IC3B_CR4_FRAGMENT_COMPARATOR_NOT_INTACT_C3_SCI_EDGE
M24A-E151	RvD1/17(R)-RvD1	modulates	spinal inflammatory pain and TNF release	RvD1-FPR2/ALX spinal resolution branch	decreasing	directed	intrathecal RvD1-family mediator after peripheral inflammatory challenge	FPR2/ALX expression in rat spinal astrocytes; human astrocyte comparator; GPR32 expression not assigned as causal	rat spinal astrocytes and human primary spinal astrocytes	spinal cord/dorsal-horn pain compartment	rat;human comparator	peripheral carrageenan inflammation comparator	downstream_pathway_or_cellular_function	reviewed_saturation_batch010	rat spinal anti-nociceptive and astrocyte cytokine comparator	medium-high molecular; low SCI relevance	P2	RETAIN_AS_RVD1_FPR2_SPINAL_COMPARATOR_NOT_SCI_EDGE
