queue_id	batch_id	priority	candidate_class	upstream_signal_or_release_feature	target_or_receptor_system	protease_activation_or_processing_logic	proximal_relay_to_validate	downstream_tf_or_program_target	evidence_layers_to_extract	species_context	cell_type_or_model_context	source_origin	source_record_id	stable_source_locator	search_boundary	status	notes
M24A-Q0076	M24A-B002	P2	cellchat_damp_purinergic_candidate	ATP	Trpm4	not asserted; distinguish complement fragment identity from generic ligand annotation	purinergic-ectonucleotidase-receptor-relay;validate-ATP-release-versus-receptor-activation	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated DAMP/purinergic slice	GtoPdb:1713:496:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/damp_purinergic_tlr_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=defer_lower_priority; next action=hold_for_later_family_pass; matched family=damp_purinergic_tlr_family
M24A-Q0077	M24A-B002	P2	cellchat_damp_purinergic_candidate	Retn	Tlr4	not asserted; distinguish complement fragment identity from generic ligand annotation	DAMP-sensor-NF-kB/MAPK-relay;retain-Module18/17-boundary	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated DAMP/purinergic slice	CellChat:RETN_TLR4	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/damp_purinergic_tlr_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=damp_purinergic_tlr_family
M24A-Q0078	M24A-B002	P2	connectome_complement_candidate	Apoc3	Ldlr	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003136	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=review_then_primary; matched family=complement_family
M24A-Q0079	M24A-B002	P2	connectome_complement_candidate	Apoc3	Lrp1	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003137	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family;guidance_ecm_family
M24A-Q0080	M24A-B002	P2	connectome_complement_candidate	C1ql2	Nrxn3	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003209	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed_with_caution; next action=review_then_primary; matched family=complement_family
M24A-Q0081	M24A-B002	P2	connectome_complement_candidate	C1qtnf5	Mfrp	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB15:0000154	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=review_then_primary; matched family=complement_family
M24A-Q0082	M24A-B002	P2	connectome_complement_candidate	Cripto	Acvr1b	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB15:0001425	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=review_then_primary; matched family=tgfb_bmp_family;complement_family
M24A-Q0083	M24A-B002	P2	connectome_complement_candidate	Cripto	Acvr1c	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB15:0001426	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=review_then_primary; matched family=tgfb_bmp_family;complement_family
M24A-Q0084	M24A-B002	P2	connectome_complement_candidate	Cripto	Acvr2a	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB15:0001427	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=review_then_primary; matched family=tgfb_bmp_family;complement_family
M24A-Q0085	M24A-B002	P2	connectome_complement_candidate	Cytl1	Ccr2	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB20:0002704	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=review_then_primary; matched family=chemokine_family;complement_family
M24A-Q0086	M24A-B002	P2	connectome_complement_candidate	Flrt3	Adgrl1	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003649	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0087	M24A-B002	P2	connectome_complement_candidate	Flrt3	Adgrl3	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003650	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0088	M24A-B002	P2	connectome_complement_candidate	Flrt3	Flrt3	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003651	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0089	M24A-B002	P2	connectome_complement_candidate	Flrt3	Unc5b	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003652	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed_with_caution; next action=review_then_primary; matched family=complement_family
M24A-Q0090	M24A-B002	P2	connectome_complement_candidate	Flrt3	Unc5c	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003653	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0091	M24A-B002	P2	connectome_complement_candidate	Flrt3	Unc5d	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003654	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0092	M24A-B002	P2	connectome_complement_candidate	Il17d	Cd93	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003780	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=review_then_primary; matched family=il_family;complement_family
M24A-Q0093	M24A-B002	P2	connectome_complement_candidate	Il1a	Il1rap	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB15:0000880	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=il_family;complement_family
M24A-Q0094	M24A-B002	P2	connectome_complement_candidate	Il1b	Il1rap	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB15:0000883	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=il_family;complement_family
M24A-Q0095	M24A-B002	P2	connectome_complement_candidate	Il1rap	Ptprd	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003788	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=review_then_primary; matched family=il_family;complement_family
M24A-Q0096	M24A-B002	P2	connectome_complement_candidate	Il36a	Il1rap	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003794	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=il_family;complement_family
M24A-Q0097	M24A-B002	P2	connectome_complement_candidate	Il36b	Il1rap	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003795	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=il_family;complement_family
M24A-Q0098	M24A-B002	P2	connectome_complement_candidate	Il36g	Il1rap	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0003797	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=il_family;complement_family
M24A-Q0099	M24A-B002	P2	connectome_complement_candidate	Leap2	Ghsr	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB20:0002807	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed_with_caution; next action=review_then_primary; matched family=complement_family
M24A-Q0100	M24A-B002	P2	connectome_complement_candidate	Pcdhgc3	Pcdhgc3	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0004075	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0101	M24A-B003	P2	connectome_complement_candidate	Pcdhgc5	Pcdhgc5	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0004076	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0102	M24A-B003	P2	connectome_complement_candidate	Pianp	Pilra	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0004093	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0103	M24A-B003	P2	connectome_complement_candidate	Ptprd	Il1rap	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0004149	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=review_then_primary; matched family=il_family;complement_family
M24A-Q0104	M24A-B003	P2	connectome_complement_candidate	Unc5a	Flrt3	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0004424	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0105	M24A-B003	P2	connectome_complement_candidate	Unc5b	Flrt3	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0004427	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0106	M24A-B003	P2	connectome_complement_candidate	Unc5c	Flrt3	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0004431	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0107	M24A-B003	P2	connectome_complement_candidate	Unc5d	Flrt3	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0004434	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=complement_family
M24A-Q0108	M24A-B003	P2	connectome_complement_candidate	Wnt5a	Vangl2	not asserted; inspect cleavage/processing only if relevant	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority complement review slice	CDB25:0004504	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/complement_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=hold_for_later_family_pass; matched family=wnt_notch_family;complement_family
M24A-Q0109	M24A-B003	P2	connectome_damp_purinergic_candidate	Anxa2	Tlr2	not asserted; inspect cleavage/processing only if relevant	DAMP-sensor-NF-kB/MAPK-relay;retain-Module18/17-boundary	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority DAMP/purinergic/TLR review slice	CDB20:0002587	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/damp_purinergic_tlr_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed_with_caution; next action=primary_first; matched family=damp_purinergic_tlr_family
M24A-Q0110	M24A-B003	P2	connectome_damp_purinergic_candidate	Cirbp	Tlr4	not asserted; inspect cleavage/processing only if relevant	DAMP-sensor-NF-kB/MAPK-relay;retain-Module18/17-boundary	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority DAMP/purinergic/TLR review slice	CDB25:0003338	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/damp_purinergic_tlr_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed_with_caution; next action=primary_first; matched family=damp_purinergic_tlr_family
M24A-Q0111	M24A-B003	P2	connectome_damp_purinergic_candidate	Cxcl10	Tlr4	not asserted; inspect cleavage/processing only if relevant	DAMP-sensor-NF-kB/MAPK-relay;retain-Module18/17-boundary	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority DAMP/purinergic/TLR review slice	CDB25:0003452	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/damp_purinergic_tlr_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued_boundary_review	Module20A bucket=boundary_review; next action=review_then_primary; matched family=chemokine_family;damp_purinergic_tlr_family
M24A-Q0112	M24A-B003	P2	connectome_damp_purinergic_candidate	Dcn	Tlr2	not asserted; inspect cleavage/processing only if relevant	DAMP-sensor-NF-kB/MAPK-relay;retain-Module18/17-boundary	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority DAMP/purinergic/TLR review slice	CDB20:0002705	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/damp_purinergic_tlr_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=damp_purinergic_tlr_family
