review_priority_rank	review_priority_score	ligand_label	receptor_label	route_record_count	unique_evidence_id_count	output_annotated_route_count	tf_annotated_route_count	intracellular_annotated_route_count	missing_intracellular_count	missing_tf_count	route_tiers	selection_note
2279	48	Desipramine	MRGPRX2	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2280	48	EDIL3/DEL-1	ITGAV:ITGB5/alphaVbeta5	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
2281	48	EDIL3/Del-1	ITGAV:ITGB5 (αVβ5)	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
2282	48	EFNB1/ephrin-B1	EPHB6/EphB6 pseudokinase	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2283	48	ELFN1	GRM6/mGluR6 receptor	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2284	48	ELFN2	GRM6	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2285	48	EPCR/PROCR	ITGAM:ITGB2 Mac-1	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2286	48	ERAS-4693	MRGPRX2	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2287	48	ERAS-5024	MRGPRX2	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2288	48	EREG/epiregulin	ERBB4/HER4 receptor	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2289	48	ESAM cytoplasmic tail	MAGI1/MAGI-1	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2290	48	Endomorphin-1	OPRM1/MOR1 mu-opioid receptor	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2291	48	F11R/JAM-A	ITGAL:ITGB2 integrin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2292	48	F2L/HEBP1-derived peptide	FPR3/formyl peptide receptor 3	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2293	48	FAM237A	GPR83	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2294	48	FBN1/fibrillin-1	ITGAV:ITGB6 integrin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2295	48	FGF1	FGFR4	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2296	48	FLT3LG/Flt3 ligand	FLT3/CD135 receptor	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2297	48	Fibronectin/FN	ITGA4:ITGB7 integrin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2298	48	Fibulin-5/FBLN5	ITGA9:ITGB1 integrin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2299	48	Fibulin-5/FBLN5	ITGAV:ITGB5 integrin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2300	48	GALP/galanin-like peptide	GALR2/galanin receptor 2	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2301	48	GBS beta protein	SIGLEC5	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2302	48	GDNF	GFRA1:RET receptor complex	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2303	48	GP1BA/GPIbα mucin-like sialylated glycoform	SIGLEC9	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2304	48	GPNMB/osteactivin soluble extracellular domain	GPR39	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2305	48	GSG1L/claudin homolog	GRIA2/GluA2 AMPA receptor	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2306	48	Glycine	GRIN1A:GRIN2C/GluN1:GluN2C NMDA receptor	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2307	48	Group B Streptococcus sialylated capsule	SIGLEC9	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2308	48	H60a	KLRK1/NKG2D	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2309	48	H60c	KLRK1/NKG2D	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2310	48	HDL/high-density lipoprotein	ANPEP/aminopeptidase N/CD13	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2311	48	HOMER1/Homer1 family scaffold	GRM1/mGluR1a	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2312	48	HSP90-OVA peptide complex	SREC-I/SCARF1	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2313	48	Heparin	ADGRG1/GPR56	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2314	48	Human astrovirus coat protein/HAstV CP	MBL/mannose-binding lectin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2315	48	Human beta-defensin-1/HBD1	CCR6	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2316	48	Human beta-defensin-3/HBD3	CXCR4	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2317	48	Hyaluronan/HA	LAYN/Layilin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2318	48	Hyaluronan/HMW-HA	SIGLEC9	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2319	48	IF-Cbl/intrinsic factor-cobalamin complex	CUBN/cubilin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2320	48	IGF2/IGF-II	ITGA6:ITGB4 integrin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2321	48	IGFBP4	FZD8/Frizzled-8	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2322	48	IGFBP4	LRP6/low-density lipoprotein receptor-related protein 6	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2323	48	IL12B/IL23A	IL12RB1	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
2324	48	IL12B/IL23A	IL23R	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
2325	48	IL25/IL17E	IL17RA:IL17RB receptor complex	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2326	48	IQSEC1/BRAG2	GRIA2/GluA2 pY876	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2327	48	IQSEC3/SynARFGEF	GPHN/gephyrin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2328	48	Ir-CPI/Ixodes ricinus contact phase inhibitor	F11a/Factor XIa	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2329	48	Ir-CPI/Ixodes ricinus contact phase inhibitor	F12a/Factor XIIa	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2330	48	Ir-CPI/Ixodes ricinus contact phase inhibitor	KLKB1/plasma kallikrein	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2331	48	KCP/Kielin/CRIM2	BMP7	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2332	48	KCTD16	GABBR2/GABA-B receptor 2 subunit	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2333	48	KIAA1202/Shrm4	GABBR1/GABA-B receptor 1 subunit	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2334	48	Kainate	GRIK1:GRIK2/GluK1:GluK2 heteromeric kainate receptor	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2335	48	Kynurenic acid/KYNA	GPR35	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2336	48	L-Phenylalanine/L-Phe	GPR142	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2337	48	L-Tryptophan/L-Trp	GPR142	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2338	48	LAMA5/laminin alpha-5	BCAM/Lu/Lutheran	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2339	48	LCN1/lipocalin-1	LMBR1L/LIMR	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2340	48	LD78beta/CCL3L1	CCR5/CMKBR5	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2341	48	LIC12587/Leptospira interrogans putative surface lipoprotein	C7/complement component 7	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2342	48	LIC12587/Leptospira interrogans putative surface lipoprotein	C8/complement component 8	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2343	48	LIC12587/Leptospira interrogans putative surface lipoprotein	C9/Complement component 9	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2344	48	LRRTM1	NRXN2alpha/beta (SS4−)	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2345	48	LRRTM1	NRXN3alpha/beta (SS4−)	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2346	48	LRRTM2	NRXN2alpha/beta (SS4−)	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2347	48	LRRTM2	NRXN3alpha/beta (SS4−)	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2348	48	Laminin (E8-containing laminin preparation)	ITGA6:ITGB4 integrin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2349	48	Laminin-211/LAMA2-containing laminin	DAG1/alpha-dystroglycan	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2350	48	Laminin-332/Lm5	ITGA6:ITGB4 integrin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2351	48	Laminin-332/Lm5	LGALS3	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2352	48	Laminin-411	MCAM/CD146	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2353	48	Lithocholic acid/LCA	MRGPRX4	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2354	48	Lumican/LUM	CD14	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2355	48	LysoPS/lysophosphatidylserine	GPR34/LPS1	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2356	48	M1/influenza A virus matrix protein	C1qA/complement component 1q subunit A	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2357	48	M18/Emm18/Streptococcus pyogenes M protein	FHL1/Factor H-like protein 1	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2358	48	MICB	KLRK1/NKG2D	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2359	48	MIF/macrophage migration inhibitory factor	CXCR2	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2360	48	MMRN2/Multimerin-2	CD93	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2361	48	MUC1-ST	SIGLEC9	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2362	48	MULT1/ULBP-like transcript 1	KLRK1/NKG2D	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2363	48	MYL12A/myosin light chain 12A	CD69/CLEC2C	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2364	48	MYL12B/myosin light chain 12B	CD69/CLEC2C	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2365	48	MYL9/myosin light chain 9	CD69/CLEC2C	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2366	48	Met-enkephalin	OPRM1/MOR1 mu-opioid receptor	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2367	48	Mycobacterium bovis BCG	C1Q/C1q	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2368	48	NECTIN4/Nectin-4	TIGIT	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2369	48	NLGN4/neuroligin-4	GPHN/gephyrin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2370	48	Neural agrin/AGRN z8 isoform	MUSK	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2371	48	Neuronal sialic-acid glycocalyx	SIGLEC-E	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2372	48	Neuroprotectin D1/NPD1	GPR37	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2373	48	OX40L/TNFSF4	OX40/TNFRSF4	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2374	48	Orexin-A/orexin-B/hypocretin	HCRTR2/OX2R orexin receptor	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2375	48	Osteocalcin/OCN	GPR37	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2376	48	Osteopontin/SPP1	ITGA8:ITGB1 integrin	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
2377	48	Oxidized low-density lipoprotein/oxLDL	CD69/CLEC2C	3	5	2	0	0	3	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
