priority_rank	priority_score	priority_tier	search_lane	active_search_eligible	queue_state	queue_key	regulator_symbol	target_symbol	species_scope	target_graph_modules	provenance_row_count	source_registries	source_record_ids	review_ids	exact_pair_statuses	primary_and_corroborating_citations	dispositions	review_status	evidence_confidence_tier	evidence_tier_basis	search_outcome_status	next_action
1812	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	med12|ado|human	MED12	ADO	human	20B	1	TFLink	tflink:human:000845:c0ec59eb6ff0	public_tf_evidence_batch022_pair_10_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1813	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	med26|a2m|mouse	MED26	A2m	mouse	20B	1	TFLink	tflink:mouse:000896:aecd5fea8e38	public_tf_evidence_batch023_pair_22_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1814	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	med26|ackr2|human	MED26	ACKR2	human	20B	1	TFLink	tflink:human:000864:a80ea9b58e27	public_tf_evidence_batch019_pair_18_1	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1815	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	med26|ackr3|mouse	MED26	Ackr3	mouse	20B	1	TFLink	tflink:mouse:000896:aecd5fea8e38	public_tf_evidence_batch023_pair_22_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1816	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	med26|actr2|human	MED26	ACTR2	human	20B	1	TFLink	tflink:human:000864:a80ea9b58e27	public_tf_evidence_batch019_pair_18_2	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1817	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	med26|acvr1c|human	MED26	ACVR1C	human	20B	1	TFLink	tflink:human:000864:a80ea9b58e27	public_tf_evidence_batch019_pair_18_4	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1818	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	med26|acvr1|human	MED26	ACVR1	human	20B	1	TFLink	tflink:human:000864:a80ea9b58e27	public_tf_evidence_batch019_pair_18_3	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1819	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	med26|adam17|mouse	MED26	Adam17	mouse	20B	1	TFLink	tflink:mouse:000896:aecd5fea8e38	public_tf_evidence_batch023_pair_22_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1820	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	med26|aplp2|mouse	MED26	Aplp2	mouse	20B	1	TFLink	tflink:mouse:000896:aecd5fea8e38	public_tf_evidence_batch023_pair_22_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1821	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mettl14|alk|human	METTL14	ALK	human	20B;23B	1	TFLink	tflink:human:001494:1c49f18bd387	public_tf_evidence_batch031_pair_07_1	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1822	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mettl14|fgfr4|human	METTL14	FGFR4	human	20B	1	TFLink	tflink:human:001494:1c49f18bd387	public_tf_evidence_batch031_pair_07_2	functional_noncanonical_rna_regulation_candidate_not_tf	https://www.nature.com/articles/s41467-022-30217-7;https://pubmed.ncbi.nlm.nih.gov/35562334/	retain_noncanonical_epitranscriptomic_RNA_candidate_pending_SCI_context	reviewed	A_independent_literature_corroborated	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1823	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mettl3|acvr1|human	METTL3	ACVR1	human	20B	1	TFLink	tflink:human:001133:79ada3952a08	public_tf_evidence_batch027_pair_11_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1824	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mettl3|adam10|human	METTL3	ADAM10	human	23B	1	TFLink	tflink:human:001133:79ada3952a08	public_tf_evidence_batch027_pair_11_3	functional_noncanonical_rna_regulator_candidate_not_strict_tf	https://pmc.ncbi.nlm.nih.gov/articles/PMC13386607/	retain_noncanonical_rna_candidate_pending_SCI_context	reviewed	B_independent_literature_single_source	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1825	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mettl3|ada|human	METTL3	ADA	human	20B	1	TFLink	tflink:human:001133:79ada3952a08	public_tf_evidence_batch027_pair_11_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1826	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mettl3|adgrl1|human	METTL3	ADGRL1	human	20B;23B	1	TFLink	tflink:human:001133:79ada3952a08	public_tf_evidence_batch027_pair_11_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1827	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mfsd11|abca1|mouse	MFSD11	Abca1	mouse	20B	1	TFLink	tflink:mouse:000940:772c42927717	public_tf_evidence_batch026_pair_09_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1828	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mfsd11|ackr3|mouse	MFSD11	Ackr3	mouse	20B	1	TFLink	tflink:mouse:000940:772c42927717	public_tf_evidence_batch026_pair_09_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1829	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mfsd11|ackr4|mouse	MFSD11	Ackr4	mouse	20B	1	TFLink	tflink:mouse:000940:772c42927717	public_tf_evidence_batch026_pair_09_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1830	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mfsd11|actr2|mouse	MFSD11	Actr2	mouse	20B	1	TFLink	tflink:mouse:000940:772c42927717	public_tf_evidence_batch026_pair_09_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1831	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mga|abca1|human	MGA	ABCA1	human	20B	1	TFLink	tflink:human:001187:ca7582fe9d6b	public_tf_evidence_batch016_pair_03_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_as_staging_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1832	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mga|actr2|human	MGA	ACTR2	human	20B	1	TFLink	tflink:human:001187:ca7582fe9d6b	public_tf_evidence_batch016_pair_03_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_as_staging_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1833	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mga|adam17|human	MGA	ADAM17	human	20B	1	TFLink	tflink:human:001187:ca7582fe9d6b	public_tf_evidence_batch016_pair_03_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_as_staging_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1834	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mga|adipor2|human	MGA	ADIPOR2	human	20B	1	TFLink	tflink:human:001187:ca7582fe9d6b	public_tf_evidence_batch016_pair_03_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_as_staging_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1835	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mier1|ackr2|human	MIER1	ACKR2	human	20B	1	TFLink	tflink:human:001180:f809872982fc	public_tf_evidence_batch027_pair_20_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1836	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mier1|acvrl1|human	MIER1	ACVRL1	human	20B	1	TFLink	tflink:human:001180:f809872982fc	public_tf_evidence_batch027_pair_20_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1837	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mier1|ada|human	MIER1	ADA	human	20B	1	TFLink	tflink:human:001180:f809872982fc	public_tf_evidence_batch027_pair_20_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1838	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mier2|acvr1c|human	MIER2	ACVR1C	human	20B	1	TFLink	tflink:human:001080:1d9c13c64698	public_tf_evidence_batch027_pair_09_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1839	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mier2|adgrb3|human	MIER2	ADGRB3	human	20B	1	TFLink	tflink:human:001080:1d9c13c64698	public_tf_evidence_batch027_pair_09_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1840	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mier2|ahsg|human	MIER2	AHSG	human	20B	1	TFLink	tflink:human:001080:1d9c13c64698	public_tf_evidence_batch027_pair_09_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1841	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mier2|alb|human	MIER2	ALB	human	20B	1	TFLink	tflink:human:001080:1d9c13c64698	public_tf_evidence_batch027_pair_09_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1842	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mier3|a2m|human	MIER3	A2M	human	20B	1	TFLink	tflink:human:001053:bc6f27ff3523	public_tf_evidence_batch020_pair_16_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1843	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mier3|abca1|human	MIER3	ABCA1	human	20B	1	TFLink	tflink:human:001053:bc6f27ff3523	public_tf_evidence_batch020_pair_16_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1844	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mier3|ackr2|human	MIER3	ACKR2	human	20B	1	TFLink	tflink:human:001053:bc6f27ff3523	public_tf_evidence_batch020_pair_16_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1845	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mier3|actr2|human	MIER3	ACTR2	human	20B	1	TFLink	tflink:human:001053:bc6f27ff3523	public_tf_evidence_batch020_pair_16_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1846	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mllt1/enl|ackr2|human	MLLT1/ENL	ACKR2	human	20B	1	TFLink	tflink:human:001146:b6970385e830	public_tf_evidence_batch018_pair_24_1	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1847	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mllt1/enl|ackr3|human	MLLT1/ENL	ACKR3	human	20B	1	TFLink	tflink:human:001146:b6970385e830	public_tf_evidence_batch018_pair_24_2	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1848	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mllt1/enl|actr2|human	MLLT1/ENL	ACTR2	human	20B	1	TFLink	tflink:human:001146:b6970385e830	public_tf_evidence_batch018_pair_24_3	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1849	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mllt1/enl|acvr1|human	MLLT1/ENL	ACVR1	human	20B	1	TFLink	tflink:human:001146:b6970385e830	public_tf_evidence_batch018_pair_24_4	chromatin_or_transcriptional_machinery_database_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_noncanonical_regulator_candidate_separately	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1850	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mlxip|abcb7|human	MLXIP	ABCB7	human		1	TFLink	tflink:human:001439:eeeb6c467abd	public_tf_evidence_batch011_pair_07_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_database_candidate_as_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1851	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mlxip|adam23|human	MLXIP	ADAM23	human	20B	1	TFLink	tflink:human:001439:eeeb6c467abd	public_tf_evidence_batch011_pair_07_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_database_candidate_as_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1852	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mlxip|fst|human	MLXIP	FST	human	22B	1	TFLink	tflink:human:001439:eeeb6c467abd	public_tf_evidence_batch011_pair_07_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_database_candidate_as_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1853	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mlxip|hes1|human	MLXIP	HES1	human	21B;22B	1	TFLink	tflink:human:001439:eeeb6c467abd	public_tf_evidence_batch011_pair_07_3	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_database_candidate_as_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1854	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mnx1|ctnna3|mouse	MNX1	Ctnna3	mouse		1	TFLink	tflink:mouse:001130:7e92c6314ba1	public_tf_evidence_batch014_pair_17_1	binding_dataset_only_not_promotable	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MNX1_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/30445619/	retain_as_staging_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1855	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mnx1|dgka|human	MNX1	DGKA	human		1	TFLink	tflink:human:001523:a3ab0b99dcf9	public_tf_evidence_batch013_pair_22_1	binding_dataset_only_not_promotable	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MNX1_TARGET_GENES;https://pubmed.ncbi.nlm.nih.gov/30445619/	retain_as_staging_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1856	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mnx1|fcmr|human	MNX1	FCMR	human		1	TFLink	tflink:human:001523:a3ab0b99dcf9	public_tf_evidence_batch013_pair_22_2	binding_dataset_only_not_promotable	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MNX1_TARGET_GENES;https://pubmed.ncbi.nlm.nih.gov/30445619/	retain_as_staging_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1857	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mnx1|gata2|mouse	MNX1	Gata2	mouse		1	TFLink	tflink:mouse:001130:7e92c6314ba1	public_tf_evidence_batch014_pair_17_2	binding_dataset_only_not_promotable	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MNX1_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/30445619/	retain_as_staging_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1858	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mnx1|iqgap3|human	MNX1	IQGAP3	human		1	TFLink	tflink:human:001523:a3ab0b99dcf9	public_tf_evidence_batch013_pair_22_3	binding_dataset_only_not_promotable	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MNX1_TARGET_GENES;https://pubmed.ncbi.nlm.nih.gov/30445619/	retain_as_staging_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1859	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mnx1|oca2|human	MNX1	OCA2	human		1	TFLink	tflink:human:001523:a3ab0b99dcf9	public_tf_evidence_batch013_pair_22_4	binding_dataset_only_not_promotable	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MNX1_TARGET_GENES;https://pubmed.ncbi.nlm.nih.gov/30445619/	retain_as_staging_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1860	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mnx1|ppp6r3|mouse	MNX1	Ppp6r3	mouse		1	TFLink	tflink:mouse:001130:7e92c6314ba1	public_tf_evidence_batch014_pair_17_3	binding_dataset_only_not_promotable	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MNX1_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/30445619/	retain_as_staging_search_lead_only	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1861	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	morc2|anxa2|human	MORC2	ANXA2	human	20B;23B;24B	1	TFLink	tflink:human:001356:039f403325a7	public_tf_evidence_batch024_pair_05_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1862	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	morc2|cd99|human	MORC2	CD99	human	23B	1	TFLink	tflink:human:001356:039f403325a7	public_tf_evidence_batch024_pair_05_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1863	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	morc2|dip2a|human	MORC2	DIP2A	human	20B	1	TFLink	tflink:human:001356:039f403325a7	public_tf_evidence_batch024_pair_05_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1864	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	morc3|adam17|mouse	MORC3	Adam17	mouse	20B	1	TFLink	tflink:mouse:001088:0680357bd812	public_tf_evidence_batch028_pair_07_1	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1865	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	morc3|adgrl1|mouse	MORC3	Adgrl1	mouse	20B;23B	1	TFLink	tflink:mouse:001088:0680357bd812	public_tf_evidence_batch028_pair_07_2	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1866	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	morc3|adgrl2|mouse	MORC3	Adgrl2	mouse	20B;23B	1	TFLink	tflink:mouse:001088:0680357bd812	public_tf_evidence_batch028_pair_07_3	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1867	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	morc3|adipor2|mouse	MORC3	Adipor2	mouse	20B	1	TFLink	tflink:mouse:001088:0680357bd812	public_tf_evidence_batch028_pair_07_4	database_membership_only_not_promotable	https://tflink.net/download/	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1868	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mphosph8|bbc3|human	MPHOSPH8	BBC3	human		1	TFLink	tflink:human:001570:9042aad59e5f	public_tf_evidence_batch034_pair_15_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
1869	0	Z_already_promoted	promoted_followup_queue	false	already_promoted_followup	mphosph8|dcp1b|human	MPHOSPH8	DCP1B	human		1	TFLink	tflink:human:001570:9042aad59e5f	public_tf_evidence_batch034_pair_15_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	C_tflink_source_table_only	promoted overlay evidence tier	not_yet_logged	Use the dedicated promotion follow-up queue; do not duplicate pair-level searching here.
