context_id	study_id	injury_model	injury_level	injury_severity	sex	timepoint_value	timepoint_unit	tissue	injury_distance	injury_distance_unit	sample_scope	cell_type	experimental_condition	study_perturbation_status	protein_observation_count	protein_state_observation_count	protein_expression_observation_count	numeric_observation_count	missing_core_fields	missing_secondary_fields	core_context_completeness	secondary_context_completeness	refinement_priority
sci:protein:880ebe4ae6febede	FLOW_SCI_294	T9 clamp-compression spinal cord injury in adult male mice	T9	clamp-compression; exact force not extracted	male		hour	cultured astrocytes derived from mouse spinal cord			primary cultured astrocytes	primary inflammatory astrocytes	primary mouse astrocytes with inflammatory induction	810-nm photobiomodulation and pathway-inhibitor arms	1	1	0	0	timepoint_value	injury_distance;injury_distance_unit	8/9	3/5	medium
sci:protein:88198a0685e0ddbe	FLOW_SCI_384	in vivo T10 contusive spinal cord injury	T10	contusion; exact impact parameters pending extraction	not reported in current extraction	7	day	peri-injury spinal cord			spatial_tissue	Iba1-positive microglia	WT + DT	Treg depletion, Cd74 genetic ablation, and OPN axis experiments; mouse SCI controls retained	2	0	2	2		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:882996959931c38e	FLOW_SCI_136	contusive SCI with TFE3 knock-in and wild-type comparisons	thoracic lesion	contusion; exact force not captured in first pass	unknown	3	day	lesion			bulk spinal-cord lesion tissue nuclear fraction	lesion spinal cord tissue	SCI	TFE3 knock-in/overexpression, TFE3 shRNA, and AMPK inhibition	1	0	1	0		sex;injury_distance;injury_distance_unit	9/9	2/5	medium
sci:protein:88f09ae525fc6f55	FLOW_SCI_265	mouse spinal cord compression/injury model with CARD6 wild-type, knockout, and glia-biased transgenic arms	thoracic/lumbar tissue analyzed; exact injury level pending extraction	compression model; exact force and duration pending extraction	male C57BL/6 mice	3	day	injury-associated spinal cord tissue	0	mm	lumbar spinal cord tissue lysate	spinal cord tissue	wild-type, CARD6 knockout, and CARD6 transgenic SCI groups versus sham	CARD6 knockout and glia-biased CARD6 transgenic mice versus wild-type controls	3	2	1	0			9/9	5/5	complete
sci:protein:89094898d3fa67d7	FLOW_SCI_273	pyramidotomy and spinal cord injury paradigms in conditional Pten mice	C7 pyramidotomy; T8 spinal cord injury paradigms	CST axotomy/pyramidotomy and T8 dorsal hemisection or complete crush paradigms	not reported in current extraction	7	day	sensorimotor cortex containing retrogradely identified corticospinal neurons			adult mouse sensorimotor cortex corticospinal neurons	retrogradely labeled layer 5 corticospinal motor neurons	pyramidotomy with AAV-Cre or AAV-GFP in Pten floxed mice	cortical AAV-Cre-mediated Pten deletion versus AAV-GFP control	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:8920ecf93a677b63	FLOW_SCI_432	in vivo thoracic contusion SCI	T13	NYU impactor; 5.6-g rod dropped 6.25 mm for the protein cohort	male	24	hour	injury-centered thoracic spinal cord homogenate	0	mm; epicenter-containing sample	injury-site spinal-cord homogenate	injury-centered spinal cord homogenate	OPN knockout versus wild-type contusion SCI	Spp1/osteopontin knockout versus wild-type injured mice; sham comparison retained	4	0	4	0			9/9	5/5	complete
sci:protein:89dffe0a5788149a	FLOW_SCI_135	T10 contusion spinal cord injury using the Louisville Injury System Apparatus	T10	0.5 mm displacement contusion at 1.0 m/s	male and female	3	week	thoracic injury region			thoracic spinal-cord tissue homogenate	thoracic spinal cord tissue	SCI	AAV-KLF7 overexpression	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:8a7218601162a465	FLOW_SCI_255	moderate T10 contusion using a modified Allen weight-drop model	T10	moderate contusion	female C57BL/6; progranulin-deficient and matched wild-type littermates	1	day	0.5 cm lesion-centered spinal cord			mouse lesion-centered spinal cord	lesion-centered spinal cord homogenate	SCI	Grn knockout and Atsttrin progranulin-derived protein treatment	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:8bad0b90abcecc47	FLOW_SCI_021	graded thoracic contusion using a MASCIS spinal cord compactor	thoracic; exact vertebral level not stated in the accessible summary	graded mild, moderate, and severe; 12.5, 25.0, or 50.0 mm drop height	female	3	day	0.6-cm lesion-centered spinal-cord homogenate			0.6-cm lesion-centered spinal-cord homogenate	unassigned or bulk sample	Mild SCI	injury severity comparison; sham laminectomy controls	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:8c0d85fbce585c73	FLOW_SCI_424	T11 contusive spinal cord injury using Infinite Horizon impactor	T11	60 kdyn; 500-700 μm displacement range	female	1	day	lesion-containing spinal cord tissue			5-mm lesion-centered spinal-cord homogenate	5 mm lesion-containing spinal cord tissue	injured	intravenous recombinant human CRYAB or GST-tagged CRYAB versus saline; endogenous injury time course also included	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:8c15ae09acd2edb3	FLOW_SCI_282	moderate T8–T10 contusion SCI in conditional myeloid-TNF mouse lines	T8–T10	75-kdyn contusion	female	6	hour	1-cm thoracic spinal cord segment centered on the lesion for SCI samples			injury-centered spinal cord tissue	neurons	naive and 6-hour SCI; Tnf^fl/fl versus LysM^CreTnf^fl/fl mice	LysM-Cre Tnf-flox peripheral myeloid TNF ablation and Cx3cr1-CreER comparison versus Tnf-flox controls	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:8cb7c84bccf2ca8b	FLOW_SCI_120	in-vivo thoracic spinal cord injury; exact injury paradigm not captured in this pass	thoracic; exact level not captured in this pass	not reported in first-pass extraction	unknown	7	day	lesion/perilesional thoracic cord			1.5-mm lesion-centered thoracic spinal-cord homogenate	thoracic cord protein extract	SCI	conditional Olig2 deletion and reporter-line experiments	1	0	1	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:8d89a23d1d1a2206	FLOW_SCI_071	L1/L2 moderate spinal cord crush injury using Dumont forceps	L1/L2	0.4 mm residual closure; 10-second bilateral lateral compression	unknown	3	day	peri_lesion			cell_population	GFAP-Cre reporter-positive astrocytes	SCI	astrocyte-specific STAT3 conditional knockout and GFAP-Cre reporter	1	1	0	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:8dd8d2f95d9a64d9	FLOW_SCI_255	moderate T10 contusion using a modified Allen weight-drop model	T10	moderate contusion	female C57BL/6; progranulin-deficient and matched wild-type littermates	7	day	0.5 cm lesion-centered spinal cord			mouse lesion-centered spinal cord	lesion-centered spinal cord homogenate	SCI	Grn knockout and Atsttrin progranulin-derived protein treatment	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:8e566b5dd8060997	FLOW_SCI_021	graded thoracic contusion using a MASCIS spinal cord compactor	thoracic; exact vertebral level not stated in the accessible summary	graded mild, moderate, and severe; 12.5, 25.0, or 50.0 mm drop height	female	3	day	0.6-cm lesion-centered spinal-cord homogenate			0.6-cm lesion-centered spinal-cord homogenate	unassigned or bulk sample	Sham	injury severity comparison; sham laminectomy controls	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:8ec3fd0461d26e3e	FLOW_SCI_393	T10 thoracic spinal cord contusion and lateral hemisection; contusion used for the protein time course	T10	contusion depth 1.0 mm; exact force not reported in first pass	not reported in first-pass extraction	7	day	lesion site and neuronal compartment	0	mm	near 1-cm lesion-centered spinal-cord tissue	lesion-site spinal cord tissue	contusion SCI versus sham	SCI with Fusicoccin-A 14-3-3 agonist and spastin inhibitor interventions	1	0	1	1			9/9	5/5	complete
sci:protein:8ed90da4889851c0	FLOW_MSCS_ITDB_000071	P2/P7 neonatal spinal cord crush injury at T10	T10	full crush for 2 seconds with forceps; forceps width 0.1 mm in the last 5 mm of the tips		3	day	neonatal P2 spinal-cord crush lesion; Figure 2 quantitative IF panel			whole_tissue	unassigned or bulk sample	+PLX3397	microglia manipulation	1	0	1	1		sex;injury_distance;injury_distance_unit	9/9	2/5	medium
sci:protein:8ee4a1d4009a446e	FLOW_SCI_032	moderate thoracic contusion SCI	T11	50 +/- 5 kDynes; 400-600 micrometers displacement	female	3	day	lesion epicenter and surrounding parenchyma; meninges for meningeal neutrophils			spatial_tissue	parenchymal neutrophils	SCI	SLPI transgenic overexpression and recombinant SLPI treatment; untreated wild-type time-course evidence retained	1	0	1	1		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:8eebd9447524f074	FLOW_SCI_361	Infinite Horizons T9 contusion spinal cord injury	T9	60 kDyn contusion	male and female	1	day	injury_centered_spinal_cord			injury-centered spinal cord lysate	injury-centered spinal cord tissue	SCI and sham	age comparison and N-acetylcysteine-amide treatment arms; sham controls	4	0	4	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:8f93d730b477712b	FLOW_SCI_190	in vivo mouse spinal cord injury; compression/contusion parameters not captured in this pass	not reported in current extraction	not reported in current extraction	not reported in current extraction	24	hour	spinal cord homogenate and white matter			bulk spinal-cord cytosolic protein fraction	spinal cord tissue homogenate	SCI, sham, and pharmacologic arms	systemic SCH58261 antagonist and CGS21680 agonist arms	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:8fdff3fb9964d450	FLOW_SCI_532	moderate mid-thoracic contusion SCI	mid-thoracic	moderate contusion	not reported	14	day	lesion border and residual cord tissue			cell-resolved lesion-border tissue	GFAP-positive reactive astrocytes	wild-type contusion SCI	Cebpd-deficient versus wild-type; untreated injury time course	2	0	2	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:9004c082e093355d	FLOW_SCI_443	in vivo traumatic spinal cord injury; mouse SCI model	thoracic; exact level pending extraction	traumatic SCI; exact impact/compression parameters pending extraction	not reported in current extraction	7	day	injury-site spinal cord			whole_tissue	injury-site spinal cord tissue	injured	SIX1 knockdown and polarization perturbations; untreated SCI time course retained	2	0	2	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:9034161d28ddae74	FLOW_SCI_252	moderate thoracic contusion using a 1 g weight dropped from 30 mm	T9	moderate contusion	male C57BL/6	28	day	epicenter and 1 mm rostral/caudal regions			mouse lesion-centered spinal cord	lesion-associated inflammatory cells	SCI	modified citrus pectin inhibition of galectin-3 in functional experiments; untreated SCI time course retained	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:907262ceb4b6034e	FLOW_SCI_250	in vivo traumatic spinal cord injury; exact impact parameters not extracted in this pass	not reported in current pass	not reported in current pass	not reported in current pass	12	hour	injury-centered spinal cord			mouse injury-centered spinal-cord tissue	spinal cord tissue supernatant/lysate	SCI	CCL28 neutralizing antibody and recombinant CCL28 treatment arms; untreated SCI time course retained	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:90851a1db37affe4	FLOW_SCI_261	maximal-compression T7-T9 mouse SCI model in female C57BL/6J mice	T7-T9	robust compression; forceps maximally compressed the exposed cord	female	42	day	5-mm spinal cord segment encompassing injury site	0	mm	injury-centered spinal-cord tissue lysate	injury-centered spinal cord tissue	SCI and sham; saline versus oleanolic-acid treatment arms	oleanolic acid dose arms; SB203580 and SP600125 pathway-inhibitor context	5	5	0	0			9/9	5/5	complete
sci:protein:90eb6c4fb965d269	FLOW_SCI_471	moderate/severe T10 contusion using the Infinite Horizon impactor	T10	70 kdyn contusion	male	3	day	plasma EV fraction			plasma extracellular-vesicle fraction	total plasma extracellular vesicles	SCI versus naive control	naive versus SCI; plasma EV transfer experiments retained as context only	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:90ebde77e793dcd7	FLOW_SCI_111	spinal cord crush injury; exact force and level not extracted in this pass	thoracic; exact level pending	severe crush model	unknown	14	day	injury-site spinal cord tissue			injury-site spinal-cord homogenate	macrophages/microglia in injured spinal cord	WT versus PD-1-knockout SCI	PD-1 knockout versus WT mice; pharmacologic and polarization experiments in cultured macrophages/microglia	3	3	0	0		sex;injury_distance;injury_distance_unit	9/9	2/5	medium
sci:protein:910e8d7a97e0f773	FLOW_SCI_260	60-kdyne T10 contusive spinal cord injury in adult female C57BL/6 mice	T10	moderate-to-severe contusion; 60 kdyne Infinite Horizon impact	female	24	hour	injury-centered spinal cord sections and homogenate	1.5	mm caudal; additional 5-mm field	injury-centered spinal cord tissue	spinal cord protein extract	SCI or sham; vehicle versus U0126 ERK1/2 inhibitor	vehicle SCI versus sham; U0126 ERK1/2 inhibition; cPLA2 knockout arms	2	2	0	2			9/9	5/5	complete
sci:protein:919322e124d543dc	FLOW_SCI_384	in vivo T10 contusive spinal cord injury	T10	contusion; exact impact parameters pending extraction	not reported in current extraction	7	day	peri-injury spinal cord			whole_tissue	peri-injury spinal cord tissue	Sham	Treg depletion, Cd74 genetic ablation, and OPN axis experiments; mouse SCI controls retained	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:919bf2aa8dd07a1c	FLOW_SCI_332	moderate thoracic contusion using a modified NYU impactor	middle thoracic; exact vertebral level not captured	moderate contusion; 3 g weight from 25 mm	not reported in first-pass extraction	7	day	injury-centered spinal cord			whole_tissue	injury-centered spinal cord	wild-type and Adamts knockout SCI	Adamts4-null and Adamts5-null versus wild-type and sham	2	0	2	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:92138dc6c68d876a	FLOW_MSCS_ITDB_000105	traumatic spinal cord injury				7	dpi	spinal cord lesion core			mixed_cell_population	unassigned or bulk sample	Col1a1-Rasless CreWT control	lineage-tracing/reporters	1	0	1	1	injury_level	injury_severity;sex;injury_distance;injury_distance_unit;sample_count	8/9	0/5	high
sci:protein:922672729c7f8bf9	FLOW_SCI_351	mouse T9 spinal cord injury with photobiomodulation treatment; exact injury force pending extraction	T9	contusive or clamp SCI; exact model wording pending full-text extraction	not reported in first-pass extraction	3	day	T9 injury site	0	mm	T9 injury-site spinal cord tissue	CD31-positive vascular profiles	sham, SCI, and SCI plus photobiomodulation	SCI versus SCI plus photobiomodulation, with sham controls	1	0	1	0			9/9	5/5	complete
sci:protein:922db14745fdd4af	FLOW_SCI_031	complete spinal cord transection	between T9 and T10	complete transection	unknown	1	day	lesion-region spinal cord			whole tissue	spinal cord tissue homogenate	SCI	IL-1 knockout versus wild-type mice	2	0	2	1		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:9241fb22bd7b035a	FLOW_SCI_030	acute thoracic compression SCI using bilateral aneurysm clip	T6-T7	24 g clip compression for 1 minute	male	3	day	injury-region spinal cord homogenate			whole_tissue	spinal cord tissue homogenate	SCI	HSP70 and/or p65 lentiviral overexpression in separate mechanistic cohorts; untreated SCI time-course cohort retained	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:92487af07e4b2a8c	FLOW_SCI_254	moderate mid-thoracic contusion spinal cord injury	T9	moderate contusion	not reported in current pass	1	day	lesion-centered spinal cord			mouse lesion-centered spinal cord	lesion-centered spinal cord homogenate	SCI	none for the primary time course; cell-marker colocalization and biochemical validation	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:925b39731cbc2b31	FLOW_SCI_434	Thoracic contusion SCI using the NYU weight-drop impactor	T12	standardized NYU weight-drop contusion; exact impact parameters not reported in the cited methods	female C57BL/6 mice, 6-8 weeks, 18-22 g	3	day	injury epicenter spinal cord sections	0	mm; epicenter	injury-epicenter spinal-cord sections	Gr-1-positive neutrophils	WT sham, vehicle, anti-factor B, factor B-deficient, and CD59a-deficient groups	factor B deficiency, CD59a deficiency, and anti-factor B antibody treatment; WT vehicle controls retained	1	0	1	0			9/9	5/5	complete
sci:protein:92764f05a5b43729	FLOW_SCI_211	contusive spinal cord injury; exact contusion parameters require full-text extraction	not extracted	contusion; not extracted	not reported in first-pass source review	28	day	lesion/perilesional spinal cord			lesion/perilesional spinal-cord astrocyte population	GFAP/proNGF double-positive astrocytes	SCI versus sham	untreated SCI time course with complementary astrocyte culture/LPS experiments	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:9283dd5de89d3f37	FLOW_SCI_182	mid-thoracic contusive spinal cord injury	mid-thoracic	contusion; exact force not captured in first-pass extraction	unknown	14	day	vascular penumbra			LEA-positive spinal-cord microvessels/endothelial cells	LEA-positive microvessels/endothelial cells	SCI	Notch1 agonist antibody or Jagged1-Fc antagonist administered after SCI; receptor observations include untreated temporal context	1	0	1	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:92cb8497e6ba461f	FLOW_SCI_233	mouse spinal cord injury with adipose-derived mesenchymal stem-cell and Jagged1-siRNA intervention arms	thoracic; exact level not captured	not reported in first-pass extraction	not reported in first-pass extraction	3	day	injury-centered spinal cord			mouse injury-centered spinal-cord tissue	injured spinal cord tissue	SCI versus sham; treatment-stratified	ADSC transplantation and Jagged1 siRNA; no untreated natural time course beyond the 3-day endpoint	2	0	2	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:93c5090785b04a11	FLOW_SCI_352	Moderate thoracic contusion SCI using the Infinite Horizons impactor	T9	50 kdyn force; 500-600 micrometre tissue displacement	adult female C57BL/6 mice, 18-20 g	3	day	contusion epicenter	0	mm	injury-epicenter spinal-cord sections	vascular basal lamina	moderate contusion SCI and uninjured controls	untreated temporal injury study with uninjured/sham comparison	1	0	1	0		sample_count	9/9	4/5	medium
sci:protein:93e724c45605ce92	FLOW_SCI_030	acute thoracic compression SCI using bilateral aneurysm clip	T6-T7	24 g clip compression for 1 minute	male	1	day	injury-region spinal cord homogenate			whole_tissue	spinal cord tissue homogenate	SCI	HSP70 and/or p65 lentiviral overexpression in separate mechanistic cohorts; untreated SCI time-course cohort retained	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:9423061c39a06881	FLOW_SCI_274	dorsal hemisection spinal cord injury	thoracic; exact level not captured in this pass	hemisection; exact proportion not captured in this pass	not reported in current extraction	14	day	spinal cord tissue; exact segment to be confirmed from full text			T7 lesion-centered mouse spinal cord lysate	injured spinal cord tissue	SCI plus control TAT peptide or PTEN antagonistic peptide	systemic PTEN antagonistic peptide versus control TAT peptide	4	4	0	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:944b3a07b1b8143b	FLOW_SCI_081	in-vivo mouse spinal cord injury model with intrathecal agomir-miR-182 or agomir control	not reported in this pass	exact severity and impact parameters pending Methods extraction	not reported in this pass	7	day	10-mm spinal cord segment centered on the injury epicenter	0	mm	injury-centered spinal-cord tissue	spinal cord tissue	SCI plus agomir-miR-182 or agomir control versus sham	agomir-miR-182 treatment versus agomir-negative-control and sham groups	2	2	0	0			9/9	5/5	complete
sci:protein:94d3cb03d9642e68	FLOW_SCI_280	Thoracic contusion SCI using the Infinite Horizons spinal cord impactor	T11	50 +/- 5 kdyn force; 400-600 micrometre tissue displacement	adult female MK2-null and wild-type C57BL/6 mice	1	day	5-mm spinal cord segment centered on injury epicenter	0	mm	5-mm spinal-cord segment centered on the injury epicenter	injured spinal cord tissue	wild-type and MK2-null contusion SCI versus controls	genetic Mapkapk2/MK2 deficiency versus wild-type controls	1	1	0	0			9/9	5/5	complete
sci:protein:94d5c88cc3e47180	FLOW_SCI_443	in vivo traumatic spinal cord injury; mouse SCI model	thoracic; exact level pending extraction	traumatic SCI; exact impact/compression parameters pending extraction	not reported in current extraction	7	day	injury-site spinal cord			whole_tissue	Iba1-positive microglia	injured	SIX1 knockdown and polarization perturbations; untreated SCI time course retained	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:95238620cd347442	FLOW_SCI_412	dorsal funiculus incision spinal cord injury with FoxJ1-CreER and Nestin-CreER lineage tracing	thoracic spinal cord; exact level requires extraction	focal dorsal funiculus incision; exact lesion dimensions require extraction		1	month	lesion and border tissue			ependymally derived spinal-cord progeny at the injury site	FoxJ1-CreER or Nestin-CreER recombined ependymal cells and progeny	injured spinal cord	genetic lineage tracing with tamoxifen; injured versus adjacent uninjured segments	1	0	1	0		sex;injury_distance;injury_distance_unit	9/9	2/5	medium
sci:protein:95a1b990ed7e69d4	FLOW_SCI_332	moderate thoracic contusion using a modified NYU impactor	middle thoracic; exact vertebral level not captured	moderate contusion; 3 g weight from 25 mm	not reported in first-pass extraction	1	day	injury-centered spinal cord			whole_tissue	injury-centered spinal cord	wild-type and Adamts knockout SCI	Adamts4-null and Adamts5-null versus wild-type and sham	2	0	2	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:95ff96b904ea7cd5	FLOW_SCI_393	T10 thoracic spinal cord contusion and lateral hemisection; contusion used for the protein time course	T10	contusion depth 1.0 mm; exact force not reported in first pass	not reported in first-pass extraction	1	day	approximately 1-cm lesion-centered spinal cord segment	0	mm	near 1-cm lesion-centered spinal-cord tissue	lesion-site spinal cord tissue	contusion SCI versus sham	SCI with Fusicoccin-A 14-3-3 agonist and spastin inhibitor interventions	1	0	1	1			9/9	5/5	complete
sci:protein:967edd890c797539	FLOW_SCI_065	moderate contusion SCI	thoracic; exact level requires Methods extraction	moderate contusion; exact impact parameter requires Methods extraction	unknown	2	hours	lesion epicenter or uninjured T8 segment			whole_tissue	unassigned or bulk sample	SCI vehicle or rolipram versus uninjured control	rolipram treatment versus vehicle; treatment-stratified observational protein panel retained	1	0	1	0		sex;injury_distance;injury_distance_unit	9/9	2/5	medium
sci:protein:9729d5b7057604a5	FLOW_SCI_351	mouse T9 spinal cord injury with photobiomodulation treatment; exact injury force pending extraction	T9	contusive or clamp SCI; exact model wording pending full-text extraction	not reported in first-pass extraction	7	day	T9 injury site	0	mm	T9 injury-site spinal cord tissue	injury-site spinal cord tissue	sham, SCI, and SCI plus photobiomodulation	SCI versus SCI plus photobiomodulation, with sham controls	1	0	1	0			9/9	5/5	complete
sci:protein:97c202c2c1af40f1	FLOW_SCI_044	clip compression SCI at T9/T10; vascular clip applied for 1 minute	T9/T10	complete hind-limb paralysis reported; exact clip force not extracted	female	4	days	lesion core and periphery			SCI core lesion tissue	SCI lesion core tissue	SCI versus sham	none	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:98435edff391fed1	FLOW_SCI_340	in vivo moderate dorsal thoracic contusion spinal cord injury	thoracic; exact vertebral level not extracted in current pass	moderate contusion	not reported in current pass	14	day	injury epicenter and spared ventrolateral white matter			spared ventrolateral white matter/lesion epicenter sections	new oligodendrocyte-derived myelin sheaths	SCI	conditional Myrf deletion in PDGFRα-positive oligodendrocyte precursor cells; matched injured control mice retained	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:98b2f6093845a89f	FLOW_SCI_370	in vivo severe T9 contusive spinal cord injury using the Louisville Injury Systems Apparatus	T9	severe; 0.45 mm displacement at 1.0 m/s	female; 6-8 weeks	6	hour	T9 injury epicenter	0	mm	0.4-cm injury-epicenter spinal cord lysate	injury epicenter spinal cord lysate	SCI; WT and CHOP-null cohorts	CHOP-null versus wild-type mice; untreated SCI molecular response retained	2	1	1	0			9/9	5/5	complete
sci:protein:98c222e746aff9b4	FLOW_SCI_061	dosed thoracic contusion SCI	Th8	dosed contusion; exact impact parameter not retained in this intake	male Wistar	7	days	Th8 5 mm lesion-centered spinal cord and serum			whole_tissue	unassigned or bulk sample	SCI versus intact control	observational	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:98edd4a88297fe8e	FLOW_SCI_471	moderate/severe T10 contusion using the Infinite Horizon impactor	T10	70 kdyn contusion	male	1	day	T10 lesion-centered spinal cord and plasma	0	mm	plasma EV and T10 lesion-centered spinal-cord samples	astrocytes	SCI versus naive control	naive versus SCI; plasma EV transfer experiments retained as context only	3	0	3	2			9/9	5/5	complete
sci:protein:98fcd12164be9eca	FLOW_SCI_051	moderate mid-thoracic T9 contusion SCI, 75 kdyn	T9	moderate contusion; adult versus aged and IL-4Ralpha knockout comparisons	female adult/aged cohorts and male genotype-comparison cohorts	1	day	spinal cord lesion and adjacent sections			Percoll-enriched spinal-cord microglia	CD11b+CD45lo microglia	adult or aged SCI versus laminectomy control	age comparison and IL-4Ralpha knockout	1	0	1	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:995755e005b0ab63	FLOW_SCI_214	mouse spinal cord injury with reporter-line fate mapping; exact lesion paradigm requires extraction	not extracted	not extracted	not extracted	84	day	lesion border and spared tissue			mouse spinal-cord tissue	GFAP-positive astrocytes	mouse SCI	reporter-line fate mapping; naive versus injured tissue comparison	1	0	1	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:99b33067ac3940c1	FLOW_SCI_401	T8 contusive spinal cord injury using a 3-g weight-drop model	T8	moderate contusion; 3-g weight dropped 5.0 cm	not reported in current extraction	1	day	lesion epicenter and rostral lesion-associated cord			whole_tissue	blood vessels and perivascular astrocytic processes	SCI; wild-type and HO-1 heterozygous mice	HO-1 heterozygous deficiency versus wild-type littermates; sham and injured controls	1	0	1	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:9ac95ee49b7986fb	FLOW_SCI_040	thoracic contusion spinal cord injury at T8	T8	not reported in the extracted record	not reported in the extracted record	4	days	injury-centered spinal cord tissue			bulk spinal-cord tissue including the injured portion	whole spinal cord tissue extract	SCI versus sham	none	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:9b0a1e5784a21877	FLOW_SCI_090	traumatic spinal cord injury; mouse in-vivo injury model				12	hour	spinal cord; anterior horn localization reported			bulk injured spinal-cord tissue	spinal cord tissue	SCI	AG-490 JAK inhibition in a mechanistic arm	1	1	0	0	injury_level	injury_severity;sex;injury_distance;injury_distance_unit;sample_count	8/9	0/5	medium
sci:protein:9b1d45a03437e784	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	R1200 relative to lesion epicenter (-1200 µm)	-1200	µm	mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance R1200	Zeb2os perturbation	1	0	1	1		sex;sample_count	9/9	3/5	medium
sci:protein:9b5a8bd24465e337	FLOW_SCI_363	lateral compression spinal cord injury at T8-T9	T8-T9	forceps compression for 14 seconds; spacer-controlled	female for SCI cohort; male for intact-diet cohort		in_vitro	not_applicable			purified oligodendrocyte culture	purified oligodendrocyte cultures	purified primary-cell culture under HFHS or control conditions	regular diet versus high-fat high-sucrose diet; metformin rescue in culture and diet-related comparisons	1	0	1	1	timepoint_value	injury_distance;injury_distance_unit;sample_count	8/9	2/5	high
sci:protein:9bab955e1d79a5ff	FLOW_SCI_250	in vivo traumatic spinal cord injury; exact impact parameters not extracted in this pass	not reported in current pass	not reported in current pass	not reported in current pass	5	day	injury-centered spinal cord			mouse injury-centered spinal-cord tissue	spinal cord tissue supernatant/lysate	SCI	CCL28 neutralizing antibody and recombinant CCL28 treatment arms; untreated SCI time course retained	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:9bae6440d8ca2927	FLOW_SCI_343	in vivo severe T10 contusion without laminectomy using a computer-controlled impactor	T10	severe contusion	female CD1	4	hour	injury-centered spinal cord lysate			T9-T11 injury-centered spinal cord lysate	lesion epicenter spinal cord tissue	SCI	docosahexaenoic acid treatment versus saline and naive controls; untreated SCI trajectory retained	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:9cc549444d2adbfd	FLOW_SCI_043	custom-designed compressed spinal cord injury model; exact compression parameters and level require full-text extraction	not reported in the extracted record	severe paralysis/spasticity reported; exact graded severity not standardized in extracted record	not reported in the extracted record	7	days	compressed spinal cord segment/white matter			whole compressed spinal cord segment/white matter	compressed spinal cord tissue	CSCI versus normal and sham	none	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
