observation_id	study_id	timepoint_id	population_id	protein	gene_symbol	assay	measurement_kind	protein_form	protein_resolution	extraction_status	evidence_grade	evidence_status	post_injury_value	timepoint_unit	tissue_region	injury_distance	injury_distance_unit	condition	perturbation_status	injury_model	injury_severity	injury_level	sex	reported_label	sample_scope	source_location	source_repository_accession	gap_reason
FLOW_SCI_225__OBS225_3D_IGM	FLOW_SCI_225	FLOW_SCI_225__TP225_3D	FLOW_SCI_225__POP225_LESION	natural IgM antibody binding to injury neoepitopes		immunofluorescence	relative deposition/immunofluorescence intensity	deposited IgM	cell/tissue-resolved immunofluorescence deposition assay	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	T10 lesion epicenter and ±0.5 mm around epicenter	0.5	mm	wild-type SCI; Rag1-null mice reconstituted with B4 or control D5 IgM	Rag1-null IgM reconstitution, B1-cell depletion, and B4-Crry complement inhibition	female C57BL/6 mouse T10 contusion SCI at 80 kdyn; wild-type, Rag1-null reconstitution, and B1-cell depletion experiments	moderate/severe contusion; 80 kdyn	T10	female	injured spinal cord lesion tissue	injury-region spinal-cord sections	PMCID: PMC5477255; Figures 2–4 and Results 'Analysis of IgM binding and C3 deposition following SCI'		source_extraction_not_final
FLOW_SCI_225__OBS225_3D_NEOEPITOPE	FLOW_SCI_225	FLOW_SCI_225__TP225_3D	FLOW_SCI_225__POP225_LESION	annexin-IV/phospholipid injury neoepitope	Anxa4; contextual phospholipid antigen	immunofluorescence	relative deposition/immunofluorescence intensity	injury-exposed neoepitope recognized by natural IgM	cell/tissue-resolved immunofluorescence deposition assay	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	T10 lesion epicenter and ±0.5 mm around epicenter	0.5	mm	wild-type SCI; Rag1-null mice reconstituted with B4 or control D5 IgM	Rag1-null IgM reconstitution, B1-cell depletion, and B4-Crry complement inhibition	female C57BL/6 mouse T10 contusion SCI at 80 kdyn; wild-type, Rag1-null reconstitution, and B1-cell depletion experiments	moderate/severe contusion; 80 kdyn	T10	female	injured spinal cord lesion tissue	injury-region spinal-cord sections	PMCID: PMC5477255; Figures 2–4 and Results 'Analysis of IgM binding and C3 deposition following SCI'		source_extraction_not_final
FLOW_SCI_230__O230_1	FLOW_SCI_230	FLOW_SCI_230__T230_1D	FLOW_SCI_230__P230_BULK	ADAMTS1	Adamts1	western_blot	band_intensity	active and autocatalytic forms	bulk_tissue	primary_source_inaccessible	C_bulk_tissue_protein	candidate	1.0	day	injured spinal cord			SCI	none in the primary wild-type time course; related Adamts4 knockout validation is reported separately	in vivo mouse spinal cord injury; exact impactor details require full-text extraction	not reported in first-pass extraction	spinal cord; exact level not captured	not reported in accessible abstract	injured spinal cord tissue	whole_tissue	PMID 23562508; Results and figure descriptions for ADAMTS protein immunohistochemistry and aggrecanase-generated proteoglycan fragments		source_extraction_not_final
FLOW_SCI_230__O230_2	FLOW_SCI_230	FLOW_SCI_230__T230_7D	FLOW_SCI_230__P230_BULK	aggrecanase-generated proteoglycan fragments	Acan/Versican/Bcan substrates	western_blot	band_intensity	cleaved	bulk_tissue	primary_source_inaccessible	C_bulk_tissue_protein	candidate	7.0	day	injured spinal cord			SCI	none in the primary wild-type time course; related Adamts4 knockout validation is reported separately	in vivo mouse spinal cord injury; exact impactor details require full-text extraction	not reported in first-pass extraction	spinal cord; exact level not captured	not reported in accessible abstract	injured spinal cord tissue	whole_tissue	PMID 23562508; Results and figure descriptions for ADAMTS protein immunohistochemistry and aggrecanase-generated proteoglycan fragments		source_extraction_not_final
FLOW_SCI_230__O230_3	FLOW_SCI_230	FLOW_SCI_230__T230_7D	FLOW_SCI_230__P230_ASTRO	ADAMTS5	Adamts5	immunohistochemistry	localization	total protein	unknown	primary_source_inaccessible	B_direct_but_incomplete	candidate	7.0	day	injured spinal cord			SCI	none in the primary wild-type time course; related Adamts4 knockout validation is reported separately	in vivo mouse spinal cord injury; exact impactor details require full-text extraction	not reported in first-pass extraction	spinal cord; exact level not captured	not reported in accessible abstract	astrocytes	mixed_cell_population	PMID 23562508; Results and figure descriptions for ADAMTS protein immunohistochemistry and aggrecanase-generated proteoglycan fragments		source_extraction_not_final
FLOW_SCI_234__O234_1	FLOW_SCI_234	FLOW_SCI_234__T234_21D	FLOW_SCI_234__P234_BULK	osteopontin	Spp1	proteomics	relative abundance	soluble	bulk_tissue	primary_source_inaccessible	C_bulk_tissue_protein	candidate	21.0	day	injured spinal cord			SCI versus control; knockdown arm present	lentiviral Spp1 siRNA knockdown versus SCI control	mouse hemisection spinal cord injury with OPN knockdown intervention	hemisection	not reported in first-pass extraction	not reported in first-pass extraction	injured spinal cord	whole_tissue	PMID 38329420; abstract and reported OPN proteome/time-course/localization results		source_extraction_not_final
FLOW_SCI_234__O234_2	FLOW_SCI_234	FLOW_SCI_234__T234_21D	FLOW_SCI_234__P234_VASC	osteopontin	Spp1	immunofluorescence	localization	soluble	unknown	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	21.0	day	injured spinal cord			SCI versus control; knockdown arm present	lentiviral Spp1 siRNA knockdown versus SCI control	mouse hemisection spinal cord injury with OPN knockdown intervention	hemisection	not reported in first-pass extraction	not reported in first-pass extraction	vascular-associated OPN signal	mixed_cell_population	PMID 38329420; abstract and reported OPN proteome/time-course/localization results		source_extraction_not_final
FLOW_SCI_235__O235_2	FLOW_SCI_235	FLOW_SCI_235__T235_14D	FLOW_SCI_235__P235_PNN	Neurocan-associated perineuronal-net signal	Ncan	immunofluorescence	localization	total extracellular-matrix proteoglycan	unknown	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	14.0	day	injury epicenter			SCI versus sham; treatment-stratified	electroacupuncture and shNCAN/shRNA intervention; no untreated dense time course	mouse spinal cord injury with electroacupuncture and Neurocan knockdown intervention arms	not reported in first-pass extraction	not reported in first-pass extraction	not reported in first-pass extraction	neurocan-associated perineuronal net	mixed_cell_population	PMCID PMC10805400; Fig. 1B-D and related Neurocan/PNN Results		source_extraction_not_final
FLOW_SCI_241__FLOW_SCI_241_OBS1	FLOW_SCI_241	FLOW_SCI_241__FLOW_SCI_241_T1D	FLOW_SCI_241__FLOW_SCI_241_POP1	anandamide		flow_cytometry	concentration	mature lipid mediator	bulk_tissue	primary_source_checked_ambiguous	A_direct_cell_population_protein	candidate	1.0	day	L1-L6 DRGs and spinal cord below lesion			SCI versus sham	SCI versus sham; pharmacologic AEA, TRPV1, and CB1R tests in isolated DRG neurons	moderate T9 contusion using a MASCIS impactor	60 kilodynes moderate contusion	T9	not reported in accessible methods excerpt	L1-L6 dorsal root ganglia	unknown	PMC11720958; Figure 1, Results section 'SCI induces increased AEA content and hyperactivity in nociceptors', and LC-MS/MS Methods		source_extraction_not_final
FLOW_SCI_241__FLOW_SCI_241_OBS2	FLOW_SCI_241	FLOW_SCI_241__FLOW_SCI_241_T7D	FLOW_SCI_241__FLOW_SCI_241_POP1	anandamide		flow_cytometry	concentration	mature lipid mediator	bulk_tissue	primary_source_checked_ambiguous	A_direct_cell_population_protein	candidate	7.0	day	L1-L6 DRGs and spinal cord below lesion			SCI versus sham	SCI versus sham; pharmacologic AEA, TRPV1, and CB1R tests in isolated DRG neurons	moderate T9 contusion using a MASCIS impactor	60 kilodynes moderate contusion	T9	not reported in accessible methods excerpt	L1-L6 dorsal root ganglia	unknown	PMC11720958; Figure 1, Results section 'SCI induces increased AEA content and hyperactivity in nociceptors', and LC-MS/MS Methods		source_extraction_not_final
FLOW_SCI_241__FLOW_SCI_241_OBS3	FLOW_SCI_241	FLOW_SCI_241__FLOW_SCI_241_T28D	FLOW_SCI_241__FLOW_SCI_241_POP1	anandamide		LC-MS/MS	anandamide tissue content	mature lipid mediator	bulk tissue metabolite measurement	figure_table_transcribed	A_direct_cell_population_protein	candidate	28.0	day	L1-L6 DRGs and spinal cord below lesion			SCI versus sham	SCI versus sham; pharmacologic AEA, TRPV1, and CB1R tests in isolated DRG neurons	moderate T9 contusion using a MASCIS impactor	60 kilodynes moderate contusion	T9	not reported in accessible methods excerpt	L1-L6 dorsal root ganglia	L1-L6 dorsal-root-ganglion tissue	PMC11720958; Figure 1, Results section 'SCI induces increased AEA content and hyperactivity in nociceptors', and LC-MS/MS Methods		outside_current_expression_selection_rule
FLOW_SCI_241__FLOW_SCI_241_OBS4	FLOW_SCI_241	FLOW_SCI_241__FLOW_SCI_241_T28D	FLOW_SCI_241__FLOW_SCI_241_POP2	anandamide		LC-MS/MS	anandamide tissue content	mature lipid mediator	bulk tissue metabolite measurement	figure_table_transcribed	C_bulk_tissue_protein	candidate	28.0	day	L1-L6 DRGs and spinal cord below lesion			SCI versus sham	SCI versus sham; pharmacologic AEA, TRPV1, and CB1R tests in isolated DRG neurons	moderate T9 contusion using a MASCIS impactor	60 kilodynes moderate contusion	T9	not reported in accessible methods excerpt	spinal cord below injury level	spinal cord below the injury level	PMC11720958; Figure 1, Results section 'SCI induces increased AEA content and hyperactivity in nociceptors', and LC-MS/MS Methods		outside_current_expression_selection_rule
FLOW_SCI_243__FLOW_SCI_243_OBS2	FLOW_SCI_243	FLOW_SCI_243__FLOW_SCI_243_T4W	FLOW_SCI_243__FLOW_SCI_243_POP2	serotonin (5-HT)		electrophysiology	5-HT response sensitivity of identified V2a interneurons	exogenous mature monoamine used in activity assay	cell-type-resolved electrophysiological response; no protein abundance assay	figure_table_transcribed	B_direct_but_incomplete	candidate	4.0	week	lumbar spinal cord, including medial lamina VIII and V2a interneuron region			complete SCI versus intact mouse	SCI versus intact; exogenous 5-HT application and citalopram comparison	complete spinal cord transection	complete lesion	thoracic; exact level in figure/methods	not reported in accessible abstract	V2a interneurons	identified lumbar V2a spinal interneurons	PMC3506248; Figures 5-7 and Results section 'Reduction in serotonin (5-HT) and serotonin transporters (SERT) after SCI'		outside_current_expression_selection_rule
FLOW_SCI_245__FLOW_SCI_245_OBS2	FLOW_SCI_245	FLOW_SCI_245__FLOW_SCI_245_T4D	FLOW_SCI_245__FLOW_SCI_245_POP1	glutamate		flow_cytometry	uptake_capacity	extracellular small-molecule neurotransmitter; inferred from uptake assay	bulk_tissue	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	4.0	day	T9 crush epicenter spinal cord			SCI versus uninjured; GLT1+/− versus wild-type	GLT1+/− versus wild-type; uninjured and injured comparisons	thoracic crush spinal cord injury in GLT1 heterozygous and wild-type mice	crush injury; exact force requires Methods extraction	T9	not reported in accessible excerpt	astrocyte glutamate transporter GLT1 in spinal cord tissue	whole_tissue	PMC3269541; Figure 3 and Results section 'Intraspinal GLT1 Protein Levels and GLT1 Mediated Glutamate Uptake Were Significantly Reduced'		source_extraction_not_final
FLOW_SCI_270__O270_1	FLOW_SCI_270	FLOW_SCI_270__T270_48H	FLOW_SCI_270__P270_SPINAL	AKT	Akt1	western_blot	phosphorylation_state	p-Akt Ser473	bulk tissue extract protein evidence	primary_source_checked_ambiguous	C_bulk_tissue_protein	candidate	48.0	hour	injury-centered spinal cord lysate; additional cortex and brainstem lysates			SCI plus control peptide or PAP1-4	systemic PTEN antagonist peptides PAP1-4 versus control reverse peptide; treatment initiated 2 days after injury	dorsal over-hemisection spinal cord injury	dorsal over-hemisection, approximately 67% of cord transected	T7	male	injury-centered spinal cord lysate	adult mouse injury-centered spinal cord lysate	PMCID PMC4195449; Fig. 4A-I and section 3.4, spinal cord lysates and supraspinal tissue signaling		source_extraction_not_final
FLOW_SCI_270__O270_2	FLOW_SCI_270	FLOW_SCI_270__T270_48H	FLOW_SCI_270__P270_SPINAL	GSK3-beta	Gsk3b	western_blot	phosphorylation_state	p-GSK-3β Ser9	bulk tissue extract protein evidence	primary_source_checked_ambiguous	C_bulk_tissue_protein	candidate	48.0	hour	injury-centered spinal cord lysate; additional cortex and brainstem lysates			SCI plus control peptide or PAP1-4	systemic PTEN antagonist peptides PAP1-4 versus control reverse peptide; treatment initiated 2 days after injury	dorsal over-hemisection spinal cord injury	dorsal over-hemisection, approximately 67% of cord transected	T7	male	injury-centered spinal cord lysate	adult mouse injury-centered spinal cord lysate	PMCID PMC4195449; Fig. 4A-I and section 3.4, spinal cord lysates and supraspinal tissue signaling		source_extraction_not_final
FLOW_SCI_270__O270_3	FLOW_SCI_270	FLOW_SCI_270__T270_48H	FLOW_SCI_270__P270_SPINAL	ribosomal protein S6	Rps6	western_blot	phosphorylation_state	p-S6 Ser235/236	bulk tissue extract protein evidence	primary_source_checked_ambiguous	C_bulk_tissue_protein	candidate	48.0	hour	injury-centered spinal cord lysate; additional cortex and brainstem lysates			SCI plus control peptide or PAP1-4	systemic PTEN antagonist peptides PAP1-4 versus control reverse peptide; treatment initiated 2 days after injury	dorsal over-hemisection spinal cord injury	dorsal over-hemisection, approximately 67% of cord transected	T7	male	injury-centered spinal cord lysate	adult mouse injury-centered spinal cord lysate	PMCID PMC4195449; Fig. 4A-I and section 3.4, spinal cord lysates and supraspinal tissue signaling		source_extraction_not_final
FLOW_SCI_275__O275_1	FLOW_SCI_275	FLOW_SCI_275__T275_1D	FLOW_SCI_275__P275_CORTEX	PTEN	Pten	western_blot	PTEN western-blot band intensity; assay-context mismatch retained	total PTEN	assay-context unresolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	1.0	day	spinal cord and/or cortical injection region; exact compartment to be confirmed			SCI plus AAV-shPTEN or AAV-GFP control	AAV-shPTEN-GFP versus AAV-GFP control	spinal cord injury with cortical AAV-shPTEN or control AAV-GFP	not specified in current extraction	not specified in current extraction	not reported in current extraction	AAV-transduced cortical neurons	AAV-transduced validation material and cortical in vivo context	PMCID PMC3782617; western-blot validation and in vivo immunohistochemistry at 1 day after injury		source_extraction_not_final
FLOW_SCI_290__OBS290_1	FLOW_SCI_290	FLOW_SCI_290__TP290_1D	FLOW_SCI_290__POP290_MIXED	β-catenin/TCF-LEF reporter activity	Ctnnb1	flow_cytometry	TOPgal/X-gal reporter-positive cell presence/absence	transcriptional reporter activity; not direct beta-catenin protein	spatially resolved reporter histochemistry	figure_table_transcribed	B_direct_but_incomplete	candidate	1.0	day	lesion and surrounding spinal cord			SCI	reporter-line observation; no pathway drug required for the primary activity result	complete compression spinal cord injury in adult TOPgal reporter mice	complete lower-thoracic compression; exact force not extracted	lower thoracic; exact vertebral level not extracted	not reported in first-pass extraction	lesion spinal cord	adult TOPgal mouse lesion spinal cord	PMCID: PMC5816694; Results, Fig. 1 and Figs. 3-4		ambiguous_or_reporter_assay
FLOW_SCI_290__OBS290_2	FLOW_SCI_290	FLOW_SCI_290__TP290_5D	FLOW_SCI_290__POP290_FIBRO	β-catenin/TCF-LEF reporter activity	Ctnnb1	flow_cytometry	TOPgal/X-gal reporter-positive cell presence/absence	transcriptional reporter activity; not direct beta-catenin protein	spatially resolved reporter histochemistry	figure_table_transcribed	B_direct_but_incomplete	candidate	5.0	day	lesion epicenter			SCI	reporter-line observation; no pathway drug required for the primary activity result	complete compression spinal cord injury in adult TOPgal reporter mice	complete lower-thoracic compression; exact force not extracted	lower thoracic; exact vertebral level not extracted	not reported in first-pass extraction	TOPgal-positive fibroblast-like cells	adult TOPgal mouse lesion spinal cord	PMCID: PMC5816694; Results, Fig. 1 and Figs. 3-4		ambiguous_or_reporter_assay
FLOW_SCI_290__OBS290_3	FLOW_SCI_290	FLOW_SCI_290__TP290_7D	FLOW_SCI_290__POP290_FIBRO	β-catenin/TCF-LEF reporter activity	Ctnnb1	flow_cytometry	TOPgal/X-gal reporter-positive cell presence/absence	transcriptional reporter activity; not direct beta-catenin protein	spatially resolved reporter histochemistry	figure_table_transcribed	B_direct_but_incomplete	candidate	7.0	day	lesion epicenter			SCI	reporter-line observation; no pathway drug required for the primary activity result	complete compression spinal cord injury in adult TOPgal reporter mice	complete lower-thoracic compression; exact force not extracted	lower thoracic; exact vertebral level not extracted	not reported in first-pass extraction	TOPgal-positive fibroblast-like cells	adult TOPgal mouse lesion spinal cord	PMCID: PMC5816694; Results, Fig. 1 and Figs. 3-4		ambiguous_or_reporter_assay
FLOW_SCI_291__OBS291_1	FLOW_SCI_291	FLOW_SCI_291__TP291_0D	FLOW_SCI_291__POP291_NEURON	β-catenin/TCF-LEF reporter activity	Ctnnb1	immunohistochemistry / reporter histology	BATgal beta-Gal reporter-positive cell presence/absence	transcriptional reporter activity; not direct beta-catenin protein	cell-resolved spatial reporter histology	figure_table_transcribed	B_direct_but_incomplete	candidate	0.0	day	dorsal horn and central canal			uninjured BATgal control	BATgal reporter-line observation; no therapeutic perturbation	T8 dorsal hemisection in adult C57BL/6J mice; separate BATgal reporter cohort	dorsal hemisection	T8	female	dorsal-horn β-gal-positive neurons	adult BATgal mouse spinal cord histological sections	PMCID: PMC3949505; Methods, Results, Fig. 7 and Fig. 6 caption		ambiguous_or_reporter_assay
FLOW_SCI_291__OBS291_2	FLOW_SCI_291	FLOW_SCI_291__TP291_1D	FLOW_SCI_291__POP291_CENTRAL	β-catenin/TCF-LEF reporter activity	Ctnnb1	immunohistochemistry / reporter histology	BATgal beta-Gal reporter-positive cell presence/absence	transcriptional reporter activity; not direct beta-catenin protein	cell-resolved spatial reporter histology	figure_table_transcribed	B_direct_but_incomplete	candidate	1.0	day	dorsal horn and central canal			SCI, BATgal reporter	BATgal reporter-line observation; no therapeutic perturbation	T8 dorsal hemisection in adult C57BL/6J mice; separate BATgal reporter cohort	dorsal hemisection	T8	female	central-canal β-gal-positive cells	adult BATgal mouse spinal cord histological sections	PMCID: PMC3949505; Methods, Results, Fig. 7 and Fig. 6 caption		ambiguous_or_reporter_assay
FLOW_SCI_291__OBS291_3	FLOW_SCI_291	FLOW_SCI_291__TP291_7D	FLOW_SCI_291__POP291_CENTRAL	β-catenin/TCF-LEF reporter activity	Ctnnb1	immunohistochemistry / reporter histology	BATgal beta-Gal reporter-positive cell presence/absence	transcriptional reporter activity; not direct beta-catenin protein	cell-resolved spatial reporter histology	figure_table_transcribed	B_direct_but_incomplete	candidate	7.0	day	dorsal horn and central canal			SCI, BATgal reporter	BATgal reporter-line observation; no therapeutic perturbation	T8 dorsal hemisection in adult C57BL/6J mice; separate BATgal reporter cohort	dorsal hemisection	T8	female	central-canal β-gal-positive cells	adult BATgal mouse spinal cord histological sections	PMCID: PMC3949505; Methods, Results, Fig. 7 and Fig. 6 caption		ambiguous_or_reporter_assay
FLOW_SCI_292__OBS292_1	FLOW_SCI_292	FLOW_SCI_292__TP292_2D	FLOW_SCI_292__POP292_MIXED	TGF-β	Tgfb1	elisa	concentration_trajectory	total TGF-beta1 or phosphorylation-state-specific Smad3 as queued	bulk tissue for ELISA; cell-resolved for immunohistochemistry	figure_table_transcribed	C_bulk_tissue_protein	candidate	2.0	day	injured spinal cord			SCI	observational pathway study	mouse spinal cord compression injury	compression; exact force not available in the accessible abstract	not reported in accessible abstract	female C57BL/6NCrSlc mice	injured spinal cord extract	injured mouse spinal cord tissue	Neuroscience Letters 549:168-172; abstract and article figures; DOI 10.1016/j.neulet.2013.05.042		phospho_or_active_form_review_scope
FLOW_SCI_292__OBS292_2	FLOW_SCI_292	FLOW_SCI_292__TP292_2D	FLOW_SCI_292__POP292_NEURON	phospho-Smad3C	Smad3	immunohistochemistry	cell_localized_staining_presence	total TGF-beta1 or phosphorylation-state-specific Smad3 as queued	bulk tissue for ELISA; cell-resolved for immunohistochemistry	figure_table_transcribed	B_direct_but_incomplete	candidate	2.0	day	injured spinal cord			SCI	observational pathway study	mouse spinal cord compression injury	compression; exact force not available in the accessible abstract	not reported in accessible abstract	female C57BL/6NCrSlc mice	motor neurons	injured mouse spinal cord tissue	Neuroscience Letters 549:168-172; abstract and article figures; DOI 10.1016/j.neulet.2013.05.042		phospho_or_active_form_review_scope
FLOW_SCI_292__OBS292_3	FLOW_SCI_292	FLOW_SCI_292__TP292_2D	FLOW_SCI_292__POP292_ASTRO	phospho-Smad3L	Smad3	immunohistochemistry	cell_localized_staining_presence_and_intensity	total TGF-beta1 or phosphorylation-state-specific Smad3 as queued	bulk tissue for ELISA; cell-resolved for immunohistochemistry	figure_table_transcribed	B_direct_but_incomplete	candidate	2.0	day	injured spinal cord			SCI	observational pathway study	mouse spinal cord compression injury	compression; exact force not available in the accessible abstract	not reported in accessible abstract	female C57BL/6NCrSlc mice	astrocytes in gray matter	injured mouse spinal cord tissue	Neuroscience Letters 549:168-172; abstract and article figures; DOI 10.1016/j.neulet.2013.05.042		phospho_or_active_form_review_scope
FLOW_SCI_295__OBS295_1	FLOW_SCI_295	FLOW_SCI_295__TP295_7D	FLOW_SCI_295__POP295_MIXED	HIF-1α	Hif1a	western_blot	band_intensity	total	bulk_tissue	primary_source_checked_ambiguous	C_bulk_tissue_protein	candidate	7.0	day	injury-centered spinal cord			SCI; sham versus PBM	photobiomodulation, γ-secretase inhibitor DAPT, and NICD1 overexpression in mouse macrophages	compressive spinal cord injury in mice with implantable-fiber photobiomodulation	compressive SCI; exact force not extracted	not reported in first-pass extraction	not reported in first-pass extraction	injury-centered spinal cord tissue	whole_tissue	PMCID: PMC8968029; Methods, Fig. 1D-I, Fig. 7A-F and related pathway text		source_extraction_not_final
FLOW_SCI_295__OBS295_3	FLOW_SCI_295	FLOW_SCI_295__TP295_7D	FLOW_SCI_295__POP295_MACRO	NICD1	Notch1	western_blot	band_intensity	cleaved_intracellular_domain	sorted_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	7.0	day	injury-centered spinal cord			SCI; sham versus PBM	photobiomodulation, γ-secretase inhibitor DAPT, and NICD1 overexpression in mouse macrophages	compressive spinal cord injury in mice with implantable-fiber photobiomodulation	compressive SCI; exact force not extracted	not reported in first-pass extraction	not reported in first-pass extraction	mouse bone-marrow-derived macrophages	sorted_cell_population	PMCID: PMC8968029; Methods, Fig. 1D-I, Fig. 7A-F and related pathway text		source_extraction_not_final
FLOW_SCI_300__OBS300_MLKL_1H	FLOW_SCI_300	FLOW_SCI_300__TP300_1H	FLOW_SCI_300__POP300_BULK	MLKL	Mlkl	western_blot	MLKL protein by Western blot	total MLKL; phospho-MLKL not directly resolved	bulk tissue immunoblot	figure_table_transcribed	C_bulk_tissue_protein	candidate	1.0	hour	5-mm injury-centered spinal cord segment			SCI versus sham	observational with rapamycin rescue arm; injury-versus-sham evidence retained separately	thoracic T10 moderate contusion spinal cord injury using the Infinite Horizon impactor	moderate; 60 kdyn contusion	T10	male C57BL/6J and GFP-LC3 reporter mice; 8–10 weeks	injury-centered spinal cord extract	5-mm injury-centered spinal cord tissue	PMCID: PMC5913300; Figures 3–4 and corresponding Results text		phospho_or_active_form_review_scope
FLOW_SCI_300__OBS300_RIPK3_1H	FLOW_SCI_300	FLOW_SCI_300__TP300_1H	FLOW_SCI_300__POP300_BULK	RIPK3	Ripk3	western_blot	RIPK3 protein by Western blot	total protein; phosphorylation not directly resolved	bulk tissue immunoblot	figure_table_transcribed	C_bulk_tissue_protein	candidate	1.0	hour	5-mm injury-centered spinal cord segment			SCI versus sham	observational with rapamycin rescue arm; injury-versus-sham evidence retained separately	thoracic T10 moderate contusion spinal cord injury using the Infinite Horizon impactor	moderate; 60 kdyn contusion	T10	male C57BL/6J and GFP-LC3 reporter mice; 8–10 weeks	injury-centered spinal cord extract	5-mm injury-centered spinal cord tissue	PMCID: PMC5913300; Figures 3–4 and corresponding Results text		phospho_or_active_form_review_scope
FLOW_SCI_301__OBS301_ASC_1D	FLOW_SCI_301	FLOW_SCI_301__TP301_1D	FLOW_SCI_301__POP301_BULK	ASC	Pycard	western_blot	relative abundance	total protein; inflammasome complex assembly not directly quantified in this assay	bulk_tissue	primary_source_inaccessible	C_bulk_tissue_protein	candidate	1.0	day	injury-centered spinal cord			wild-type SCI versus sham; ASC knockout comparison	ASC homozygous knockout and bone-marrow chimera experiments	thoracic contusion spinal cord injury using a 60 kdyn force	moderate; 60 kdyn contusion	thoracic; exact vertebral level not recovered in this pass	not reported in this pass	injured spinal cord tissue	whole_tissue	Journal of Orthopaedic Surgery 2020; abstract and Figure 2/Results protein analyses		source_extraction_not_final
FLOW_SCI_301__OBS301_ASC_CELL_1D	FLOW_SCI_301	FLOW_SCI_301__TP301_1D	FLOW_SCI_301__POP301_MIXED_CELLS	ASC	Pycard	immunofluorescence	cellular localization	total immunoreactivity	bulk_tissue	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	injury-centered spinal cord			wild-type SCI versus sham; ASC knockout comparison	ASC homozygous knockout and bone-marrow chimera experiments	thoracic contusion spinal cord injury using a 60 kdyn force	moderate; 60 kdyn contusion	thoracic; exact vertebral level not recovered in this pass	not reported in this pass	NeuN+, CD11b+, GFAP+, and MOG+ cells	whole_tissue	Journal of Orthopaedic Surgery 2020; abstract and Figure 2/Results protein analyses		source_extraction_not_final
FLOW_SCI_301__OBS301_CASP1_1D	FLOW_SCI_301	FLOW_SCI_301__TP301_1D	FLOW_SCI_301__POP301_BULK	caspase-1	Casp1	western_blot	relative abundance	total caspase-1; cleavage state not specified in the available record	bulk_tissue	primary_source_inaccessible	C_bulk_tissue_protein	candidate	1.0	day	injury-centered spinal cord			wild-type SCI versus sham; ASC knockout comparison	ASC homozygous knockout and bone-marrow chimera experiments	thoracic contusion spinal cord injury using a 60 kdyn force	moderate; 60 kdyn contusion	thoracic; exact vertebral level not recovered in this pass	not reported in this pass	injured spinal cord tissue	whole_tissue	Journal of Orthopaedic Surgery 2020; abstract and Figure 2/Results protein analyses		source_extraction_not_final
FLOW_SCI_301__OBS301_NLRP3_1D	FLOW_SCI_301	FLOW_SCI_301__TP301_1D	FLOW_SCI_301__POP301_BULK	NLRP3	Nlrp3	western_blot	relative abundance	total protein	bulk_tissue	primary_source_inaccessible	C_bulk_tissue_protein	candidate	1.0	day	injury-centered spinal cord			wild-type SCI versus sham; ASC knockout comparison	ASC homozygous knockout and bone-marrow chimera experiments	thoracic contusion spinal cord injury using a 60 kdyn force	moderate; 60 kdyn contusion	thoracic; exact vertebral level not recovered in this pass	not reported in this pass	injured spinal cord tissue	whole_tissue	Journal of Orthopaedic Surgery 2020; abstract and Figure 2/Results protein analyses		source_extraction_not_final
FLOW_SCI_302__OBS302_CASP8_ACTIVITY_3D	FLOW_SCI_302	FLOW_SCI_302__TP302_3D	FLOW_SCI_302__POP302_BULK	caspase-8	Casp8	colorimetric protease activity assay	caspase-like protease activity	enzymatically active caspase-8-like activity; molecular cleavage state not resolved	bulk tissue enzyme activity	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	injured spinal cord			SCI versus control	caspase inhibitor intervention arm; observational activity time course retained	adult mouse spinal cord contusion injury	contusion; exact impact parameters not transcribed in this pass	not reported in the accessible abstract	not reported in this pass	injured mouse spinal cord	cytosolic spinal-cord extract	Neurologia medico-chirurgica 2003;43:20–30; abstract and PDF; activity time course and Figure data		source_extraction_not_final
FLOW_SCI_303__OBS303_BAX_24H	FLOW_SCI_303	FLOW_SCI_303__TP303_24H	FLOW_SCI_303__POP303_TISSUE_CELLS	BAX	Bax	immunohistochemistry	immunoreactivity_densitometry	total BAX immunoreactivity	bulk_tissue	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	1.0	day	perilesional spinal cord tissue			sham, SCI, and TRAIL-neutralized SCI	TRAIL-neutralizing antibody pretreatment versus untreated SCI and sham	traumatic spinal cord injury; exact impact model parameters pending full-text extraction	not fully recovered in this pass	not fully recovered in this pass	not reported in this pass	perilesional spinal cord cells	whole_tissue	PMCID: PMC3055339; Figures 4–5 and Results sections on caspase, JNK, Bax, and Bcl-2		source_extraction_not_final
